Time Cost: 47.84055209159851s
Community 290: ['3792']
Community 291: ['3793']
Community 292: ['3794']
Community 293: ['3795']
Community 294: ['3796']
Community 295: ['3797']
Community 296: ['3798']
Community 297: ['3799']
Community 298: ['3800']
Community 299: ['3801']
Community 300: ['3802']
Community 301: ['3803']
Community 302: ['3804']
Community 303: ['3805']
Community 304: ['3806']
Community 305: ['3807']
Community 306: ['3808']
Community 307: ['3809']
Community 308: ['3810']
Community 309: ['3811']
Community 310: ['3812']
Community 311: ['3813']
Community 312: ['3814']
Community 313: ['3815']
Community 314: ['3816']
Community 315: ['3818']
Community 316: ['3819']
Community 317: ['3820']
Community 318: ['3821']
Community 319: ['3822']
Community 320: ['3824']
Community 321: ['3825']
Community 322: ['3826']
Community 323: ['3827']
Community 324: ['3828']
Community 325: ['3829']
Community 326: ['3830']
Community 327: ['3831']
Community 328: ['3832']
Community 329: ['3833']
Community 330: ['3834']
Community 331: ['3835']
Community 332: ['3836']
Community 333: ['3837']
Community 334: ['3838']
Community 335: ['3839']
Community 336: ['3840']
Community 337: ['3842']
Community 338: ['3843']
Community 339: ['3844']
Community 340: ['3845']
Community 341: ['3846']
Community 342: ['3847']
Community 343: ['3848']
Community 344: ['3849']
Community 345: ['3850']
Community 346: ['3851']
Community 347: ['3852']
Community 348: ['3853']
Community 349: ['3854']
Community 350: ['3855']
Community 351: ['3856']
Community 352: ['3857']
Community 353: ['3858']
Community 354: ['3859']
Community 355: ['3860']
Community 356: ['3861']
Community 357: ['3862']
Community 358: ['3864']
Community 359: ['3865']
Community 360: ['3866']
Community 361: ['3867']
Community 362: ['3868']
Community 363: ['3869']
Community 364: ['3870']
Community 365: ['3871']
Community 366: ['3872']
Community 367: ['3873']
Community 368: ['3874']
Community 369: ['3875']
Community 370: ['3876']
Community 371: ['3877']
Community 372: ['3878']
Community 373: ['3879']
Community 374: ['3880']
Community 375: ['3881']
Community 376: ['3882']
Community 377: ['3883']
Community 378: ['3884']
Community 379: ['3885']
Community 380: ['3886']
Community 381: ['3887']
Community 382: ['3888']
Community 383: ['3889']
Community 384: ['3890']
Community 385: ['3891']
Community 386: ['3892']
Community 387: ['3893']
Community 388: ['3894']
Community 389: ['3895']
Community 390: ['3897']
Community 391: ['3898']
Community 392: ['3899']
Community 393: ['3900']
Community 394: ['3901']
Community 395: ['3902']
Community 396: ['3903']
Community 397: ['3904']
Community 398: ['3905']
Community 399: ['3906']
Community 400: ['3907']
Community 401: ['3908']
Community 402: ['3909']
Community 403: ['3910']
Community 404: ['3911']
Community 405: ['3912']
Community 406: ['3913']
Community 407: ['3914']
Community 408: ['3915']
Community 409: ['3916']
Community 410: ['3917']
Community 411: ['3918']
Community 412: ['3919']
Community 413: ['3920']
Community 414: ['3921']
Community 415: ['3922']
Community 416: ['3923']
Community 417: ['3924']
Community 418: ['3925']
Community 419: ['3926']
Community 420: ['3927']
Community 421: ['3928']
Community 422: ['3929']
Community 423: ['3931']
Community 424: ['3932']
Community 425: ['3933']
Community 426: ['3934']
Community 427: ['3935']
Community 428: ['3937']
Community 429: ['3938']
Community 430: ['3939']
Community 431: ['3940']
Community 432: ['3941']
Community 433: ['3942']
Community 434: ['3943']
Community 435: ['3944']
Community 436: ['3945']
Community 437: ['3946']
Community 438: ['3947']
Community 439: ['3948']
Community 440: ['3949']
Community 441: ['3951']
Community 442: ['3952']
Community 443: ['3953']
Community 444: ['3954']
Community 445: ['3955']
Community 446: ['3956']
Community 447: ['3957']
Community 448: ['3958']
Community 449: ['3959']
Community 450: ['3960']
Community 451: ['3961']
Community 452: ['3962']
Community 453: ['3963']
Community 454: ['3964']
Community 455: ['3965']
Community 456: ['3966']
Community 457: ['3967']
Community 458: ['3968']
Community 459: ['3969']
Community 460: ['3970']
Community 461: ['3971']
Community 462: ['3972']
Community 463: ['3973']
Community 464: ['3974']
Community 465: ['3976']
Community 466: ['3977']
Community 467: ['3978']
Community 468: ['3979']
Community 469: ['3980']
Community 470: ['3981']
Community 471: ['3982']
Community 472: ['3983']
Community 473: ['3984']
Community 474: ['3985']
Community 475: ['3986']
Community 476: ['3987']
Community 477: ['3988']
Community 478: ['3989']
Community 479: ['3990']
Community 480: ['3991']
Community 481: ['3992']
Community 482: ['3993']
Community 483: ['3994']
Community 484: ['3995']
Community 485: ['3996']
Community 486: ['3997']
Community 487: ['3998']
Community 488: ['3999']
Community 489: ['4000']
Community 490: ['4001']
Community 491: ['4002']
Community 492: ['4003']
Community 493: ['4004']
Community 494: ['4005']
Community 495: ['4006']
Community 496: ['4007']
Community 497: ['4009']
Community 498: ['4010']
