Time Cost: 68.62752771377563s
Community 290: ['3453']
Community 291: ['3454']
Community 292: ['3455']
Community 293: ['3456']
Community 294: ['3457']
Community 295: ['3458']
Community 296: ['3459']
Community 297: ['3460']
Community 298: ['3461']
Community 299: ['3462']
Community 300: ['3463']
Community 301: ['3464']
Community 302: ['3465']
Community 303: ['3466']
Community 304: ['3467']
Community 305: ['3468']
Community 306: ['3469']
Community 307: ['3470']
Community 308: ['3471']
Community 309: ['3472']
Community 310: ['3473']
Community 311: ['3474']
Community 312: ['3475']
Community 313: ['3476']
Community 314: ['3477']
Community 315: ['3478']
Community 316: ['3479']
Community 317: ['3480']
Community 318: ['3481']
Community 319: ['3482']
Community 320: ['3483']
Community 321: ['3484']
Community 322: ['3485']
Community 323: ['3486']
Community 324: ['3487']
Community 325: ['3488']
Community 326: ['3489']
Community 327: ['3490']
Community 328: ['3491']
Community 329: ['3492']
Community 330: ['3493']
Community 331: ['3494']
Community 332: ['3495']
Community 333: ['3496']
Community 334: ['3497']
Community 335: ['3498']
Community 336: ['3499']
Community 337: ['3500']
Community 338: ['3501']
Community 339: ['3502']
Community 340: ['3503']
Community 341: ['3504']
Community 342: ['3505']
Community 343: ['3506']
Community 344: ['3507']
Community 345: ['3508']
Community 346: ['3509']
Community 347: ['3510']
Community 348: ['3511']
Community 349: ['3512']
Community 350: ['3513']
Community 351: ['3514']
Community 352: ['3515']
Community 353: ['3516']
Community 354: ['3517']
Community 355: ['3518']
Community 356: ['3519']
Community 357: ['3520']
Community 358: ['3521']
Community 359: ['3522']
Community 360: ['3523']
Community 361: ['3524']
Community 362: ['3525']
Community 363: ['3526']
Community 364: ['3527']
Community 365: ['3528']
Community 366: ['3529']
Community 367: ['3530']
Community 368: ['3531']
Community 369: ['3532']
Community 370: ['3533']
Community 371: ['3534']
Community 372: ['3535']
Community 373: ['3536']
Community 374: ['3537']
Community 375: ['3538']
Community 376: ['3539']
Community 377: ['3540']
Community 378: ['3541']
Community 379: ['3542']
Community 380: ['3543']
