Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'796': ['796', '797', '799', '804', '805', 'a', 'e'], '798': ['798', '800', '801', '802', '803', '811', 'b', 'out'], '806': ['806', '807', '808', '809', '810', 'c', 'd']})"
3,"defaultdict(<class 'list'>, {'796': ['796', '797', '799', '804', 'a', 'e'], '798': ['798', '800', '801', '802', '803', '811', 'b', 'out'], '805': ['805', '806', '807', '808', '809', '810', 'c', 'd']})"
4,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', '805', '806', 'a', 'd', 'e'], '798': ['798', '800', '801', '802', '803', '811', 'b', 'out'], '799': ['799'], '807': ['807', '808', '809', '810', 'c']})"
4,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', '805', 'a', 'e', '799', '808'], '798': ['798', '800', '801', '802', '803', '811', 'b', 'out'], '806': ['806', '809', '810', 'd'], '807': ['807', 'c']})"
4,"defaultdict(<class 'list'>, {'796': ['796', '797', '798', '799', '800', '802', 'a', 'b'], '801': ['801', '803', '809', '810', '811', 'out'], '804': ['804', '805', '806', '807', '808', 'c', 'd'], 'e': ['e']})"
4,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', '805', 'a', 'e'], '798': ['798', '799', '800', '801', '802', '803', 'b'], '806': ['806', '809', '810', '811', 'd', 'out', '807', '808'], 'c': ['c']})"
4,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', 'a', 'e', '799', '800', '808'], '798': ['798', '801', '802', 'b', '803'], '805': ['805', '806', '809', '810', '811', 'd', 'out'], '807': ['807', 'c']})"
4,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '801', '802', 'b', '799'], '797': ['797', '804', '805', '806', '807', 'a', 'c', 'd'], '803': ['803', '809', '810', '811', 'out', '808'], 'e': ['e']})"
5,"defaultdict(<class 'list'>, {'796': ['796', 'e'], '797': ['797', '804', '805', '806', '807', 'a', 'c', 'd'], '798': ['798', '800', '801', '802', '803', '811', 'b', 'out'], '799': ['799'], '808': ['808', '809', '810']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', 'a', 'e', '799', '800', '808'], '798': ['798', '801', '802', 'b', '803'], '805': ['805', '806', '809', '810', '811', 'd', 'out'], '807': ['807'], 'c': ['c']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', '805', 'a', 'e', '799', '808'], '798': ['798', '800', '801', '802', '803', '811', 'b', 'out'], '806': ['806', '809', '810', 'd'], '807': ['807'], 'c': ['c']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '804', '805', '806', '808', '809', '810', 'e'], '797': ['797', '798', '799', '800', '801', '802', '803', 'b'], '807': ['807', 'c', 'd'], '811': ['811', 'out'], 'a': ['a']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '797', '798', '799', '800', '802', 'a', 'b'], '801': ['801'], '803': ['803', '809', '810', '811', 'out'], '804': ['804', '805', '806', '807', '808', 'c', 'd'], 'e': ['e']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', '805', 'a', 'e'], '798': ['798', '799', '800', '801', '802', '803', 'b'], '806': ['806', '809', '810', '811', 'd', 'out'], '807': ['807'], '808': ['808'], 'c': ['c']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '797', '804', 'a', 'e', '799', '800', '808'], '798': ['798', '801', '802', 'b'], '803': ['803'], '805': ['805', '806', '809', '810', '811', 'd', 'out'], '807': ['807'], 'c': ['c']})"
6,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '804', '805', '806', '807', 'a', 'c', 'd'], '798': ['798', '800', '801', '802', 'b'], '799': ['799'], '803': ['803', '809', '810', '811', 'out', '808'], 'e': ['e']})"
