Total Number of Comms,Solution
5,"defaultdict(<class 'list'>, {'796': ['796', '809'], '797': ['797', '803', '804', 'd'], '798': ['798', '805', '806', '807', '808', '816', '817', 'out'], '799': ['799', '800', '801', '802', '810', 'a', 'c', 'e'], '811': ['811', '812', '813', '814', '815', 'b']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '804', '813'], '798': ['798', '808', '815', '816', '817', 'b', 'out', '809'], '800': ['800', '801', '802', '803', 'a', 'd', '807'], '812': ['812', '814']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '800', '804', 'a'], '798': ['798', '802', '803', '807', '808', 'b', 'd'], '801': ['801', '809'], '812': ['812', '813', '814', '815', '816', '817', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '799', '810', '811', 'c', 'e', '812', '814'], '797': ['797', '802', '803', '804', '805', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out'], '800': ['800'], '801': ['801', '809', '815'], '806': ['806', '807']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '800', '804', 'a'], '798': ['798', '802', '803', '807', '808', 'b', 'd'], '801': ['801'], '809': ['809'], '812': ['812', '813', '814', '815', '816', '817', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '799', '806', '810', '811', '812', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out', '807'], '804': ['804', '805'], '809': ['809', '815'], '814': ['814']})"
6,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '803', '804', 'd'], '798': ['798', '805', '806', '807', '808', '816', '817', 'out'], '799': ['799', '800', '801', '802', '810', 'a', 'c', 'e'], '809': ['809'], '811': ['811', '812', '813', '814', '815', 'b']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '806', '807', '808'], '797': ['797', '798', '802', '803', '813', 'b', 'd'], '799': ['799', 'c'], '800': ['800', '804', '805', '810', '811', '812', 'a', 'e'], '801': ['801', '809'], '814': ['814', '815', '816', '817', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '804', '813'], '798': ['798', '808', '815', '816', '817', 'b', 'out', '809'], '800': ['800', '801', '802', '803', 'a', 'd', '807'], '812': ['812'], '814': ['814']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '799', '810', '811', '812', '814', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out', '807'], '804': ['804'], '805': ['805', '806'], '809': ['809', '815']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '806', '807', '808'], '797': ['797', '798', '802', '803', '813', 'b', 'd'], '799': ['799'], '800': ['800', '804', '805', '810', '811', '812', 'a', 'e'], '801': ['801', '809'], '814': ['814', '815', '816', '817', 'out'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '799', '810', '811', '812', '814', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out', '807'], '804': ['804'], '805': ['805'], '806': ['806'], '809': ['809', '815']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '798', '808', '813', '816', '817', 'b', 'out'], '800': ['800', '801', '802', '803', 'a', 'd', '809'], '804': ['804'], '807': ['807'], '812': ['812', '814'], '815': ['815']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '804', '813'], '798': ['798', '808', '815', '816', '817', 'b', 'out', '809'], '800': ['800', '801', '802', '803', 'a', 'd'], '807': ['807'], '812': ['812'], '814': ['814']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '800', '804', 'a'], '798': ['798', '802', '803', '807', '808', 'b', 'd'], '801': ['801'], '809': ['809'], '812': ['812'], '813': ['813', '814', '815', '816', '817', 'out']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '799', '810', '811', 'c', 'e', '812', '814'], '797': ['797', '802', '803', '804', '805', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out'], '800': ['800'], '801': ['801', '809', '815'], '806': ['806'], '807': ['807']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '809', '815', '816', '817', 'out', '814'], '797': ['797', '798', '802', '803', '813', 'b', 'd'], '799': ['799', 'c'], '800': ['800', '804', '805', '810', '811', '812', 'a', 'e'], '801': ['801'], '806': ['806', '807'], '808': ['808']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '799', '806', '810', '811', '812', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out', '807'], '804': ['804'], '805': ['805'], '809': ['809', '815'], '814': ['814']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '799', '806', '810', '811', '812', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out'], '804': ['804'], '805': ['805'], '807': ['807'], '809': ['809', '815'], '814': ['814']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '798', '808', '813', '816', '817', 'b', 'out'], '800': ['800', '801', '802', '803', 'a', 'd', '809'], '804': ['804'], '807': ['807'], '812': ['812'], '814': ['814'], '815': ['815']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '806', '807', '808'], '797': ['797', '798', '802', '803', '813', 'b', 'd'], '799': ['799'], '800': ['800', '804', '805', '810', '811', '812', 'a', 'e'], '801': ['801'], '809': ['809'], '814': ['814', '815', '816', '817', 'out'], 'c': ['c']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '799', '810', '811', '812', '814', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out', '807'], '804': ['804'], '805': ['805'], '806': ['806'], '809': ['809'], '815': ['815']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '809', '815', '816', '817', 'out'], '797': ['797', '798', '802', '803', '813', 'b', 'd'], '799': ['799', 'c'], '800': ['800', '804', '805', '810', '811', '812', 'a', 'e'], '801': ['801'], '806': ['806', '807'], '808': ['808'], '814': ['814']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '804', '813'], '798': ['798', '808', '815', '816', '817', 'b', 'out'], '800': ['800', '801', '802', '803', 'a', 'd'], '807': ['807'], '809': ['809'], '812': ['812'], '814': ['814']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '799', '805', '806', '810', '811', 'c', 'e'], '797': ['797', '798', '808', '813', '816', '817', 'b', 'out'], '800': ['800', '801', '802', '803', 'a', 'd'], '804': ['804'], '807': ['807'], '809': ['809'], '812': ['812'], '814': ['814'], '815': ['815']})"
9,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '802', '803', '806', '807', 'd'], '798': ['798', '808', '816', '817', 'b', 'out'], '799': ['799', '810', '811', '812', '814', '815', 'c', 'e'], '800': ['800', '804', 'a'], '801': ['801'], '805': ['805'], '809': ['809'], '813': ['813']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '809', '815', '816', '817', 'out'], '797': ['797', '798', '802', '803', '813', 'b', 'd'], '799': ['799', 'c'], '800': ['800', '804', '805', '810', '811', '812', 'a', 'e'], '801': ['801'], '806': ['806'], '807': ['807'], '808': ['808'], '814': ['814']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '799', '810', '811', 'c', 'e', '812', '814'], '797': ['797', '802', '803', '804', '805', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out'], '800': ['800'], '801': ['801'], '806': ['806'], '807': ['807'], '809': ['809'], '815': ['815']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '799', '806', '810', '811', '812', 'c', 'e'], '797': ['797', '800', '801', '802', '803', 'a', 'd'], '798': ['798', '808', '813', '816', '817', 'b', 'out'], '804': ['804'], '805': ['805'], '807': ['807'], '809': ['809'], '814': ['814'], '815': ['815']})"
