Total Number of Comms,Solution
5,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '806', '807', '810', 'c', 'e'], '797': ['797', '798', '805', 'd'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '802': ['802'], '803': ['803', '804', '808', '809', '817', '818', 'a', 'out']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e'], '797': ['797', '805', '806', '807'], '798': ['798', '802', '803', '804', 'a', 'd'], '799': ['799', '808', '809', '812', '813', '814', 'b'], '811': ['811', '815', '816', '817', '818', 'out']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e', '802', 'd'], '797': ['797', '803', '804', '805', '806', 'a'], '798': ['798'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '807': ['807', '808', '809', '817', '818', 'out']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '806', '807', '810', 'c', 'e'], '797': ['797', '805'], '798': ['798', '802', '803', '804', 'a', 'd'], '799': ['799', '808', '809', '812', '813', '814', '815', 'b'], '811': ['811', '816', '817', '818', 'out']})"
5,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '806', '807', '810', 'c', 'e'], '797': ['797', '805'], '798': ['798', '802', '803', '804', 'a', 'd'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '808': ['808', '809', '817', '818', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e', '802', 'd'], '797': ['797', '803', '804', '805', '806', 'a'], '798': ['798'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '807': ['807'], '808': ['808', '809', '817', '818', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e', '802'], '797': ['797', '803', '804', '807', '808', 'a'], '798': ['798', '805', 'd'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '806': ['806'], '809': ['809', '817', '818', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e'], '797': ['797', '804', '805', '806', 'a'], '798': ['798', '802', '803', '813', '814', '815', 'd'], '799': ['799', '809', '812', '817', '818', 'b', 'out', '808'], '807': ['807'], '811': ['811', '816']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '806', '807', '810', 'c', 'e'], '797': ['797'], '798': ['798', '802', '803', '804', 'a', 'd'], '799': ['799', '808', '809', '812', '813', '814', '815', 'b'], '805': ['805'], '811': ['811', '816', '817', '818', 'out']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '806', '807', '810', 'c', 'e'], '797': ['797', '798', '803', '804', '805', 'a'], '799': ['799', '809', '812', '813', '817', '818', 'b', 'out'], '802': ['802', '814', 'd'], '808': ['808'], '811': ['811', '815', '816']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '806', '807', '810', 'c', 'e'], '797': ['797'], '798': ['798', '802', '803', '804', 'a', 'd'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '805': ['805'], '808': ['808', '809', '817', '818', 'out']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '803', '804', '806', '807', '808', 'a'], '797': ['797'], '798': ['798', '800', '801', '810', '811', 'c', 'd', 'e'], '799': ['799', '809', '812', '813', '817', '818', 'b', 'out'], '802': ['802', '814', '815'], '805': ['805'], '816': ['816']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e'], '797': ['797', '804', '805', '806', 'a'], '798': ['798', '802', '803', '813', '814', '815', 'd'], '799': ['799', '809', '812', '817', '818', 'b', 'out', '808'], '807': ['807'], '811': ['811'], '816': ['816']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e'], '797': ['797', '803', '804', '807', '808', 'a'], '798': ['798', '805', 'd'], '799': ['799', '811', '812', '813', '814', '815', '816', 'b'], '802': ['802'], '806': ['806'], '809': ['809', '817', '818', 'out']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '810', 'c', 'e'], '797': ['797'], '798': ['798', '802', '803', '804', 'a', 'd'], '799': ['799', '808', '809', '812', '813', '814', 'b'], '805': ['805'], '806': ['806'], '807': ['807'], '811': ['811', '815', '816', '817', '818', 'out']})"
