Total Number of Comms,Solution
7,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798', 'b'], '799': ['799', '802', '803', '817', '818', 'c'], '805': ['805', '814', '815', '820'], '806': ['806', '807', '810', '811'], '816': ['816', '819', '821', '822', '823']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', 'a', 'e'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798', '803', '806', '807', 'b'], '799': ['799', '809', '810', '817', '818', 'c', '811'], '802': ['802'], '805': ['805', '820', '823'], '814': ['814', '815', '821', '822'], '816': ['816', '819']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800', '804', '816', '817', '818', '819', 'a'], '797': ['797', '806', '813', 'b', '805'], '798': ['798'], '799': ['799', '808', '809', '810', 'c', 'e'], '801': ['801', '802', '803', '807'], '811': ['811'], '812': ['812', '822', '823', '824', '825', '826', 'd', 'out'], '814': ['814', '815', '820', '821']})"
8,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798', '801', '808', '816', 'a', 'e'], '799': ['799', '809', '810', '817', '818', '819', 'c'], '800': ['800', '804', '805', '820', '822', '823'], '802': ['802'], '803': ['803', '806', '807', '811', 'b'], '814': ['814', '815', '821']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798'], '799': ['799', '802', '803', '817', '818', 'c'], '805': ['805', '814', '815', '820'], '806': ['806', '807', '810', '811'], '816': ['816', '819', '821', '822', '823'], 'b': ['b']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '813', '825', '826', 'b', 'd', 'out'], '798': ['798'], '799': ['799', '817', '818', '819', 'c', '816'], '802': ['802', '803', '814', '815'], '805': ['805', '806'], '807': ['807', '810', '811'], '820': ['820', '821', '822', '823', '824']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800', '804', '816', '817', '818', '819', 'a'], '797': ['797', '811', '812', '824', '825', '826', 'd', 'out'], '798': ['798', '813', 'b'], '799': ['799', '808', '809', '810', 'c', 'e'], '801': ['801', '802'], '803': ['803', '805', '806', '807', '820'], '814': ['814', '815', '821', '822'], '823': ['823']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '813', '825', '826', 'b', 'd', 'out'], '798': ['798'], '799': ['799', '817', '818', '819', 'c', '816'], '802': ['802', '803', '814', '815'], '805': ['805'], '806': ['806'], '807': ['807', '810', '811'], '820': ['820', '821', '822', '823', '824']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', 'a', 'e'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798', '803', '806', '807', 'b'], '799': ['799', '809', '810', '817', '818', 'c'], '802': ['802'], '805': ['805', '820', '823'], '811': ['811'], '814': ['814', '815', '821', '822'], '816': ['816', '819']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '825', '826', 'd', 'out'], '798': ['798'], '799': ['799', '810', '811', 'c'], '802': ['802'], '803': ['803', '805', '806', '807', '820'], '813': ['813', '814', '815', 'b'], '816': ['816'], '817': ['817', '818', '819', '821', '822', '823', '824']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '811', '812', '824', '825', '826', 'd', 'out'], '798': ['798'], '799': ['799', '802', '803', '807', 'c'], '805': ['805', '806', '813', 'b'], '810': ['810'], '814': ['814', '815', '818', '819', '820', '821', '822', '823'], '816': ['816'], '817': ['817']})"
9,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '803', '807', '811', '812', '813', 'd'], '798': ['798', '806', 'b'], '799': ['799', '808', '809', '810', 'c', 'e'], '800': ['800', '801', '804', '816', 'a'], '802': ['802'], '805': ['805', '820', '822', '823', '824', '825', '826', 'out'], '814': ['814'], '815': ['815', '817', '818', '819', '821']})"
9,"defaultdict(<class 'list'>, {'796': ['796', '800', '804', '816', '817', '818', '819', 'a'], '797': ['797', '806', '813', 'b'], '798': ['798'], '799': ['799', '808', '809', '810', 'c', 'e'], '801': ['801', '802', '803', '807'], '805': ['805'], '811': ['811'], '812': ['812', '822', '823', '824', '825', '826', 'd', 'out'], '814': ['814', '815', '820', '821']})"
10,"defaultdict(<class 'list'>, {'796': ['796', '800', '804', '816', '817', '818', '819', 'a'], '797': ['797', '811', '812', '824', '825', '826', 'd', 'out'], '798': ['798'], '799': ['799', '808', '809', '810', 'c', 'e'], '801': ['801', '802'], '803': ['803', '805', '806', '807', '820'], '813': ['813'], '814': ['814', '815', '821', '822'], '823': ['823'], 'b': ['b']})"
10,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '813', '814', '815', 'b'], '798': ['798'], '799': ['799'], '800': ['800', '816', '817', '818', '819', 'a'], '801': ['801', '802', 'c', 'e'], '803': ['803', '807', '808', '809', '810', '811'], '804': ['804', '805', '806', '820'], '812': ['812', '822', '823', '824', '825', '826', 'd', 'out'], '821': ['821']})"
10,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798', '801', '808', '816', 'a', 'e'], '799': ['799', '809', '810', '817', '818', '819', 'c'], '800': ['800', '804', '805', '820', '822', '823'], '802': ['802'], '803': ['803', '806', '807', '811', 'b'], '814': ['814'], '815': ['815'], '821': ['821']})"
11,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798'], '799': ['799', '802', '803', '817', '818', 'c'], '805': ['805'], '806': ['806', '807', '810', '811'], '814': ['814'], '815': ['815'], '816': ['816', '819', '821', '822', '823'], '820': ['820'], 'b': ['b']})"
11,"defaultdict(<class 'list'>, {'796': ['796', '800', '804', '816', '817', '818', '819', 'a'], '797': ['797', '811', '812', '824', '825', '826', 'd', 'out'], '798': ['798'], '799': ['799', '808', '809', '810', 'c', 'e'], '801': ['801'], '802': ['802'], '803': ['803', '805', '806', '807', '820'], '813': ['813'], '814': ['814', '815', '821', '822'], '823': ['823'], 'b': ['b']})"
11,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', '809', 'a', 'e'], '797': ['797', '812', '813', '825', '826', 'b', 'd', 'out'], '798': ['798'], '799': ['799', '817', '818', '819', 'c', '816'], '802': ['802', '803', '814', '815'], '805': ['805'], '806': ['806'], '807': ['807'], '810': ['810'], '811': ['811'], '820': ['820', '821', '822', '823', '824']})"
11,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '808', 'a', 'e'], '797': ['797', '812', '813', '824', '825', '826', 'd', 'out'], '798': ['798', '803', '806', '807', 'b'], '799': ['799', '809', '810', '817', '818', 'c'], '802': ['802'], '805': ['805'], '811': ['811'], '814': ['814', '815', '821', '822'], '816': ['816', '819'], '820': ['820'], '823': ['823']})"
