Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '381', '383', '389', '390', '391', 'a', 'd'], '379': ['379', '380', '384', '385', 'b', 'c', '382', '386'], '387': ['387', '388', '392', '393', '394', 'out']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '381', '383', '389', 'a', 'd'], '379': ['379', '380', '384', '385', 'b', 'c', '382', '386'], '387': ['387', '388', '391', '392', '393', '394', 'out', '390']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '381', '390', 'a', 'd', '383', '389', '391'], '379': ['379', '380', '384', '385', 'b', 'c', '382', '386'], '387': ['387', '388', '392', '393', '394', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '381', '383', '389', 'a', 'd'], '379': ['379', '380', '384', '385', 'b', 'c', '382', '386'], '387': ['387', '388', '391', '392', '393', '394', 'out'], '390': ['390']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '389', '391', 'd'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381', '387', '388', '392', '393', '394', 'a', 'out'], '385': ['385', '390']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '389', 'd'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '387': ['387', '388']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '390', 'a', 'd', '383', '389', '391'], '379': ['379', '380', '384', '385', 'b', 'c'], '382': ['382'], '386': ['386'], '387': ['387', '388', '392', '393', '394', 'out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '389', '391', 'd'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381', '387', '388', '392', '393', '394', 'a', 'out'], '385': ['385'], '390': ['390']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '383', '389', '390', '391', 'a', 'd'], '379': ['379', '380', '384', '385', 'b', 'c'], '382': ['382'], '386': ['386'], '387': ['387', '388', '392', '393', '394', 'out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '389', 'c', 'd'], '381': ['381'], '384': ['384', '386', '387', '388'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], 'b': ['b']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '383', '389', '391', '392', '393', '394', 'd'], '379': ['379', 'b'], '380': ['380', '382', '384', '385', '386', '387', '388', 'c'], '381': ['381'], '390': ['390', 'a'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '389', 'c', 'd'], '381': ['381'], '384': ['384'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '386': ['386', '387', '388'], 'b': ['b']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '389', 'd'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '387': ['387'], '388': ['388']})"
7,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '387': ['387', '388'], '389': ['389'], 'd': ['d']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '383', '389', '391', '392', '393', '394', 'd'], '379': ['379'], '380': ['380', '382', '384', '385', '386', '387', '388', 'c'], '381': ['381'], '390': ['390', 'a'], 'b': ['b'], 'out': ['out']})"
7,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381', '387', '388', '392', '393', '394', 'a', 'out'], '385': ['385', '390'], '389': ['389'], '391': ['391'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '383', '389', '391', '392', '393', '394', 'd'], '379': ['379'], '380': ['380', '382', '384', '385', '386', '387', '388', 'c'], '381': ['381'], '390': ['390'], 'a': ['a'], 'b': ['b'], 'out': ['out']})"
8,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381', '387', '388', '392', '393', '394', 'a', 'out'], '385': ['385'], '389': ['389'], '390': ['390'], '391': ['391'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '389', 'c', 'd'], '381': ['381'], '384': ['384'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '386': ['386'], '387': ['387'], '388': ['388'], 'b': ['b']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '381', '390', 'a', 'd'], '379': ['379', '380', '384', '385', 'b', 'c'], '382': ['382'], '383': ['383'], '386': ['386'], '387': ['387', '388', '392', '393', '394', 'out'], '389': ['389'], '391': ['391']})"
8,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '387': ['387'], '388': ['388'], '389': ['389'], 'd': ['d']})"
9,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '384', '385', 'b', 'c', '382', '386'], '381': ['381'], '383': ['383'], '387': ['387', '388', '391', '392', '393', '394', 'out'], '389': ['389'], '390': ['390'], 'a': ['a'], 'd': ['d']})"
11,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '384', '385', 'b', 'c'], '381': ['381'], '382': ['382'], '383': ['383'], '386': ['386'], '387': ['387', '388', '391', '392', '393', '394', 'out'], '389': ['389'], '390': ['390'], 'a': ['a'], 'd': ['d']})"
12,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '384', '385', 'b', 'c'], '381': ['381'], '382': ['382'], '383': ['383'], '386': ['386'], '387': ['387', '388', '392', '393', '394', 'out'], '389': ['389'], '390': ['390'], '391': ['391'], 'a': ['a'], 'd': ['d']})"
15,"defaultdict(<class 'list'>, {'378': ['378', '383', '389', '391', '392', '393', '394', 'd'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '390': ['390'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'out': ['out']})"
15,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '382', '383', '384', '386', 'b', 'c'], '381': ['381'], '385': ['385'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], '393': ['393'], '394': ['394'], 'a': ['a'], 'd': ['d'], 'out': ['out']})"
15,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385', '390', '391', '392', '393', '394', 'a', 'out'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'b': ['b'], 'c': ['c'], 'd': ['d']})"
15,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381', '387', '388', '392', '393', '394', 'a', 'out'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '389': ['389'], '390': ['390'], '391': ['391'], 'b': ['b'], 'c': ['c'], 'd': ['d']})"
17,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387', '388', '392', '393', '394', 'out'], '389': ['389'], '390': ['390'], '391': ['391'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d']})"
17,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '384', '385', 'b', 'c'], '381': ['381'], '382': ['382'], '383': ['383'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], '393': ['393'], '394': ['394'], 'a': ['a'], 'd': ['d'], 'out': ['out']})"
22,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], '393': ['393'], '394': ['394'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
