Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '385', '386', '387', 'a', 'b', 'd'], '380': ['380', '382', '383', '384', '388', '389', 'c', 'out'], '381': ['381']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '385', '386', '387', 'a', 'd'], '380': ['380', '382', '383', '384', '388', '389', 'c', 'out'], 'b': ['b']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '385', 'b', 'c'], '381': ['381', 'a', 'd'], '384': ['384', '386', '387', '388', '389', 'out']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '385', '386', '387', 'b', 'd'], '380': ['380', '382', '383', '384', '388', '389', 'c', 'out'], 'a': ['a']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '385', 'b', 'c'], '381': ['381', '384', '386', '389', 'd', 'out', '387', '388'], 'a': ['a']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '385', 'a', 'b', 'd', '386'], '380': ['380', '382', '383', '384', '388', '389', 'c', 'out'], '387': ['387']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '385', 'a', 'b', 'd'], '380': ['380', '382', '383', '384', '388', '389', 'c', 'out'], '386': ['386'], '387': ['387']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '385', 'b', 'c'], '381': ['381', 'a', 'd'], '384': ['384'], '386': ['386'], '387': ['387', '388', '389', 'out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '385', 'b', 'c'], '381': ['381', '384', '386', '389', 'd', 'out'], '387': ['387'], '388': ['388'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '385', 'b', 'c'], '381': ['381'], '384': ['384'], '386': ['386'], '387': ['387', '388', '389', 'out'], 'a': ['a'], 'd': ['d']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '379', '385', '386', '387', 'a', 'b', 'd'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '388': ['388'], '389': ['389'], 'c': ['c'], 'out': ['out']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '379', '380', '382', '383', '385', 'b', 'c'], '381': ['381'], '384': ['384'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'a': ['a'], 'd': ['d'], 'out': ['out']})"
10,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '382', '383', '384', '388', '389', 'c', 'out'], '381': ['381'], '385': ['385'], '386': ['386'], '387': ['387'], 'a': ['a'], 'b': ['b'], 'd': ['d']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '385', '386', '387', 'a', 'd'], '380': ['380'], '382': ['382'], '383': ['383'], '384': ['384'], '388': ['388'], '389': ['389'], 'b': ['b'], 'c': ['c'], 'out': ['out']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '385', '386', '387', 'b', 'd'], '380': ['380'], '382': ['382'], '383': ['383'], '384': ['384'], '388': ['388'], '389': ['389'], 'a': ['a'], 'c': ['c'], 'out': ['out']})"
17,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
