Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '384', '386', '388', 'a'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '387', '389', '390', '391', '392', 'd', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '388', '390', '391', '392', 'a', 'out'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '386', '387', '389', 'd'], '384': ['384']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '383', '384', '388', 'a'], '379': ['379', '381', '385', '386', 'b', 'c'], '380': ['380', '387', '389', '390', '391', '392', 'd', 'out'], '382': ['382']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '388', '390', '391', '392', 'a', 'out'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '387', '389', 'd'], '384': ['384', '386']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '382', '383', '388', 'a'], '379': ['379', '380', '381', '385', '386', '387', 'c', 'd'], '384': ['384'], '389': ['389', '390', '391', '392', 'out'], 'b': ['b']})"
5,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '387', '388', '389', '390', '391', 'a', 'd'], '384': ['384', '386'], '392': ['392', 'out']})"
6,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '387', '388', '389', '390', '391', 'a', 'd'], '384': ['384'], '386': ['386'], '392': ['392', 'out']})"
7,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '387', '389', '390', '391', '392', 'd', 'out'], '384': ['384'], '386': ['386'], '388': ['388'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '383', '384', '388', '391', 'a'], '379': ['379', '380', '381', '385', '386', '387', 'c', 'd'], '382': ['382'], '389': ['389'], '390': ['390'], '392': ['392', 'out'], 'b': ['b']})"
7,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380', '387', '388', '389', '390', '391', 'a', 'd'], '384': ['384'], '386': ['386'], '392': ['392'], 'out': ['out']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '388', '390', '391', '392', 'a', 'out'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380'], '384': ['384', '386'], '387': ['387'], '389': ['389'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '385', '386', 'b', 'c'], '380': ['380', '387', '389', '390', '391', '392', 'd', 'out'], '382': ['382'], '383': ['383'], '384': ['384'], '388': ['388'], 'a': ['a']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '388', '390', '391', '392', 'a', 'out'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380'], '384': ['384'], '386': ['386'], '387': ['387'], '389': ['389'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '383', '384', '388', '391', 'a'], '379': ['379', '380', '381', '385', '386', '387', 'c', 'd'], '382': ['382'], '389': ['389'], '390': ['390'], '392': ['392'], 'b': ['b'], 'out': ['out']})"
9,"defaultdict(<class 'list'>, {'378': ['378', '382', '383', '388', 'a'], '379': ['379', '380', '381', '385', '386', '387', 'c', 'd'], '384': ['384'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], 'b': ['b'], 'out': ['out']})"
13,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '381', '385', '386', '387', 'c', 'd'], '382': ['382'], '383': ['383'], '384': ['384'], '388': ['388'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], 'a': ['a'], 'b': ['b'], 'out': ['out']})"
13,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '387', '389', '390', '391', '392', 'd', 'out'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '388': ['388'], 'a': ['a'], 'b': ['b'], 'c': ['c']})"
14,"defaultdict(<class 'list'>, {'378': ['378', '388', '390', '391', '392', 'a', 'out'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '389': ['389'], 'b': ['b'], 'c': ['c'], 'd': ['d']})"
14,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '382', '383', '385', 'b', 'c'], '380': ['380'], '384': ['384'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], 'a': ['a'], 'd': ['d'], 'out': ['out']})"
20,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
