Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out', '382'], '379': ['379', '380', '381', '384', '385', 'a', 'b', 'c'], '386': ['386']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '382', '383', '387', '388', '389', 'd', 'out'], '379': ['379', '380', '381', '384', '385', 'a', 'b', 'c'], '386': ['386']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '383', '386', '387', '388', '389', 'd', 'out'], '379': ['379', '380', '381', '384', '385', 'a', 'b', 'c'], '382': ['382']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out'], '379': ['379', '381', '384', '385', '386', 'a', 'c', '382'], '380': ['380', 'b']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out', '386'], '379': ['379', '380', '381', '384', '385', 'a', 'b', 'c'], '382': ['382']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out'], '379': ['379', '381', '384', '385', '386', 'a', 'c', '382'], '380': ['380'], 'b': ['b']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out'], '379': ['379', '380', '381', '384', '385', 'a', 'b', 'c'], '382': ['382'], '386': ['386']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out'], '379': ['379', '381', '384', '385', '386', 'a', 'c'], '380': ['380'], '382': ['382'], 'b': ['b']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '383', '386', '387', '388', '389', 'd', 'out'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '384': ['384'], '385': ['385'], 'a': ['a'], 'b': ['b'], 'c': ['c']})"
10,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '380', '381', '384', '385', 'a', 'b', 'c'], '382': ['382'], '383': ['383'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'd': ['d'], 'out': ['out']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '382', '383', '387', '388', '389', 'd', 'out'], '379': ['379'], '380': ['380'], '381': ['381'], '384': ['384'], '385': ['385'], '386': ['386'], 'a': ['a'], 'b': ['b'], 'c': ['c']})"
11,"defaultdict(<class 'list'>, {'378': ['378', '383', '387', '388', '389', 'd', 'out'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '384': ['384'], '385': ['385'], '386': ['386'], 'a': ['a'], 'b': ['b'], 'c': ['c']})"
17,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
