Time Cost: 2795.559451818466s
Community 290: ['36905']
Community 291: ['36906']
Community 292: ['36908']
Community 293: ['36909']
Community 294: ['36910']
Community 295: ['36911']
Community 296: ['36912']
Community 297: ['36913']
Community 298: ['36914']
Community 299: ['36915']
Community 300: ['36916']
Community 301: ['36918']
Community 302: ['36919']
Community 303: ['36921']
Community 304: ['36922']
Community 305: ['36923']
Community 306: ['36924']
Community 307: ['36925']
Community 308: ['36926']
Community 309: ['36927']
Community 310: ['36928']
Community 311: ['36929']
Community 312: ['36931']
Community 313: ['36932']
Community 314: ['36934']
Community 315: ['36935']
Community 316: ['36936']
Community 317: ['36937']
Community 318: ['36938']
Community 319: ['36939']
Community 320: ['36940']
Community 321: ['36941']
Community 322: ['36942']
Community 323: ['36944']
Community 324: ['36945']
Community 325: ['36947']
Community 326: ['36948']
Community 327: ['36949']
Community 328: ['36950']
Community 329: ['36951']
Community 330: ['36952']
Community 331: ['36953']
Community 332: ['36955']
Community 333: ['36956']
Community 334: ['36958']
Community 335: ['36959']
Community 336: ['36960']
Community 337: ['36961']
Community 338: ['36962']
Community 339: ['36963']
Community 340: ['36964']
Community 341: ['36965']
Community 342: ['36966']
Community 343: ['36968']
Community 344: ['36969']
Community 345: ['36971']
Community 346: ['36972']
Community 347: ['36973']
Community 348: ['36974']
Community 349: ['36975']
Community 350: ['36976']
Community 351: ['36977']
Community 352: ['36978']
Community 353: ['36979']
Community 354: ['36981']
Community 355: ['36982']
Community 356: ['36984']
Community 357: ['36985']
Community 358: ['36986']
Community 359: ['36987']
Community 360: ['36988']
Community 361: ['36989']
Community 362: ['36990']
Community 363: ['36992']
Community 364: ['36993']
Community 365: ['36995']
Community 366: ['36996']
Community 367: ['36997']
Community 368: ['36998']
Community 369: ['36999']
Community 370: ['37000']
Community 371: ['37001']
Community 372: ['37003']
Community 373: ['37004']
Community 374: ['37006']
Community 375: ['37007']
Community 376: ['37008']
Community 377: ['37009']
Community 378: ['37010']
Community 379: ['37011']
Community 380: ['37012']
Community 381: ['37013']
Community 382: ['37014']
Community 383: ['37016']
Community 384: ['37017']
Community 385: ['37019']
Community 386: ['37020']
Community 387: ['37021']
Community 388: ['37022']
Community 389: ['37023']
Community 390: ['37024']
Community 391: ['37025']
Community 392: ['37026']
Community 393: ['37027']
Community 394: ['37029']
Community 395: ['37030']
Community 396: ['37032']
Community 397: ['37033']
Community 398: ['37034']
Community 399: ['37035']
Community 400: ['37036']
Community 401: ['37037']
Community 402: ['37038']
Community 403: ['37039']
Community 404: ['37040']
Community 405: ['37042']
Community 406: ['37043']
Community 407: ['37045']
Community 408: ['37046']
Community 409: ['37047']
Community 410: ['37048']
Community 411: ['37049']
Community 412: ['37050']
Community 413: ['37051']
Community 414: ['37052']
Community 415: ['37053']
Community 416: ['37055']
Community 417: ['37056']
Community 418: ['37058']
Community 419: ['37059']
Community 420: ['37060']
Community 421: ['37061']
Community 422: ['37062']
Community 423: ['37063']
Community 424: ['37064']
Community 425: ['37066']
Community 426: ['37067']
Community 427: ['37069']
Community 428: ['37070']
Community 429: ['37071']
Community 430: ['37072']
Community 431: ['37073']
Community 432: ['37074']
Community 433: ['37075']
Community 434: ['37076']
Community 435: ['37077']
Community 436: ['37079']
Community 437: ['37080']
Community 438: ['37082']
Community 439: ['37083']
Community 440: ['37084']
Community 441: ['37085']
Community 442: ['37086']
Community 443: ['37087']
Community 444: ['37088']
Community 445: ['37089']
Community 446: ['37090']
Community 447: ['37092']
Community 448: ['37093']
Community 449: ['37095']
Community 450: ['37096']
Community 451: ['37097']
Community 452: ['37098']
Community 453: ['37099']
Community 454: ['37100']
Community 455: ['37101']
Community 456: ['37102']
Community 457: ['37103']
Community 458: ['37105']
Community 459: ['37106']
Community 460: ['37108']
Community 461: ['37109']
Community 462: ['37110']
Community 463: ['37111']
Community 464: ['37112']
Community 465: ['37113']
Community 466: ['37114']
Community 467: ['37116']
Community 468: ['37117']
Community 469: ['37119']
Community 470: ['37120']
Community 471: ['37121']
Community 472: ['37122']
Community 473: ['37123']
Community 474: ['37124']
Community 475: ['37125']
Community 476: ['37126']
Community 477: ['37127']
Community 478: ['37129']
Community 479: ['37130']
Community 480: ['37132']
Community 481: ['37133']
Community 482: ['37134']
Community 483: ['37135']
Community 484: ['37136']
Community 485: ['37137']
Community 486: ['37138']
Community 487: ['37139']
Community 488: ['37140']
Community 489: ['37142']
Community 490: ['37143']
Community 491: ['37145']
Community 492: ['37146']
Community 493: ['37147']
Community 494: ['37148']
Community 495: ['37149']
Community 496: ['37150']
Community 497: ['37151']
Community 498: ['37153']
Community 499: ['37154']
Community 500: ['37156']
Community 501: ['37157']
Community 502: ['37158']
Community 503: ['37159']
Community 504: ['37160']
Community 505: ['37161']
Community 506: ['37162']
Community 507: ['37164']
Community 508: ['37165']
Community 509: ['37167']
Community 510: ['37168']
Community 511: ['37169']
Community 512: ['37170']
Community 513: ['37171']
Community 514: ['37172']
Community 515: ['37173']
Community 516: ['37175']
Community 517: ['37176']
Community 518: ['37178']
Community 519: ['37179']
Community 520: ['37180']
Community 521: ['37181']
Community 522: ['37182']
Community 523: ['37183']
Community 524: ['37184']
Community 525: ['37185']
Community 526: ['37186']
Community 527: ['37188']
Community 528: ['37189']
Community 529: ['37191']
Community 530: ['37192']
Community 531: ['37193']
Community 532: ['37194']
Community 533: ['37195']
Community 534: ['37196']
Community 535: ['37197']
Community 536: ['37198']
Community 537: ['37199']
Community 538: ['37201']
Community 539: ['37202']
Community 540: ['37204']
Community 541: ['37205']
Community 542: ['37206']
Community 543: ['37207']
Community 544: ['37208']
Community 545: ['37209']
Community 546: ['37210']
Community 547: ['37211']
Community 548: ['37212']
Community 549: ['37214']
Community 550: ['37215']
Community 551: ['37217']
Community 552: ['37218']
Community 553: ['37219']
Community 554: ['37220']
Community 555: ['37221']
Community 556: ['37222']
Community 557: ['37223']
Community 558: ['37224']
Community 559: ['37225']
Community 560: ['37227']
Community 561: ['37228']
Community 562: ['37230']
Community 563: ['37231']
Community 564: ['37232']
Community 565: ['37233']
Community 566: ['37234']
Community 567: ['37235']
Community 568: ['37236']
Community 569: ['37238']
Community 570: ['37239']
Community 571: ['37241']
Community 572: ['37242']
Community 573: ['37243']
Community 574: ['37244']
Community 575: ['37245']
Community 576: ['37246']
Community 577: ['37247']
Community 578: ['37249']
Community 579: ['37250']
Community 580: ['37252']
Community 581: ['37253']
Community 582: ['37254']
Community 583: ['37255']
Community 584: ['37256']
Community 585: ['37257']
Community 586: ['37258']
Community 587: ['37259']
Community 588: ['37260']
Community 589: ['37262']
Community 590: ['37263']
Community 591: ['37265']
Community 592: ['37266']
Community 593: ['37267']
Community 594: ['37268']
Community 595: ['37269']
Community 596: ['37270']
Community 597: ['37271']
Community 598: ['37273']
Community 599: ['37274']
Community 600: ['37276']
Community 601: ['37277']
Community 602: ['37278']
Community 603: ['37279']
Community 604: ['37280']
Community 605: ['37281']
Community 606: ['37282']
Community 607: ['37283']
Community 608: ['37284']
Community 609: ['37286']
Community 610: ['37287']
Community 611: ['37289']
Community 612: ['37290']
Community 613: ['37291']
Community 614: ['37292']
Community 615: ['37293']
Community 616: ['37294']
Community 617: ['37295']
Community 618: ['37297']
Community 619: ['37298']
Community 620: ['37300']
Community 621: ['37301']
Community 622: ['37302']
Community 623: ['37303']
Community 624: ['37304']
Community 625: ['37305']
Community 626: ['37306']
Community 627: ['37308']
Community 628: ['37309']
Community 629: ['37311']
Community 630: ['37312']
Community 631: ['37313']
Community 632: ['37314']
Community 633: ['37315']
Community 634: ['37316']
Community 635: ['37317']
Community 636: ['37319']
Community 637: ['37320']
Community 638: ['37322']
Community 639: ['37323']
Community 640: ['37324']
Community 641: ['37325']
Community 642: ['37326']
Community 643: ['37327']
Community 644: ['37328']
Community 645: ['37330']
Community 646: ['37331']
Community 647: ['37333']
Community 648: ['37334']
Community 649: ['37335']
Community 650: ['37336']
Community 651: ['37337']
Community 652: ['37338']
Community 653: ['37339']
Community 654: ['37340']
Community 655: ['37341']
Community 656: ['37343']
Community 657: ['37344']
Community 658: ['37346']
Community 659: ['37347']
Community 660: ['37348']
Community 661: ['37349']
Community 662: ['37350']
Community 663: ['37351']
Community 664: ['37352']
Community 665: ['37354']
Community 666: ['37355']
Community 667: ['37357']
Community 668: ['37358']
Community 669: ['37359']
Community 670: ['37360']
Community 671: ['37361']
Community 672: ['37362']
Community 673: ['37363']
Community 674: ['37364']
Community 675: ['37365']
Community 676: ['37367']
Community 677: ['37368']
Community 678: ['37370']
Community 679: ['37371']
Community 680: ['37372']
Community 681: ['37373']
Community 682: ['37374']
Community 683: ['37375']
Community 684: ['37376']
Community 685: ['37377']
Community 686: ['37378']
Community 687: ['37380']
Community 688: ['37381']
Community 689: ['37383']
Community 690: ['37384']
Community 691: ['37385']
Community 692: ['37386']
Community 693: ['37387']
Community 694: ['37388']
Community 695: ['37389']
Community 696: ['37390']
Community 697: ['37391']
Community 698: ['37393']
Community 699: ['37394']
Community 700: ['37396']
Community 701: ['37397']
Community 702: ['37398']
Community 703: ['37399']
Community 704: ['37400']
Community 705: ['37401']
Community 706: ['37402']
Community 707: ['37404']
Community 708: ['37405']
Community 709: ['37407']
Community 710: ['37408']
Community 711: ['37409']
Community 712: ['37410']
Community 713: ['37411']
Community 714: ['37412']
Community 715: ['37413']
Community 716: ['37414']
Community 717: ['37415']
Community 718: ['37417']
Community 719: ['37418']
Community 720: ['37420']
Community 721: ['37421']
Community 722: ['37422']
Community 723: ['37423']
Community 724: ['37424']
Community 725: ['37425']
Community 726: ['37426']
Community 727: ['37428']
Community 728: ['37429']
Community 729: ['37431']
Community 730: ['37432']
Community 731: ['37433']
Community 732: ['37434']
Community 733: ['37435']
Community 734: ['37436']
Community 735: ['37437']
Community 736: ['37438']
Community 737: ['37439']
Community 738: ['37441']
Community 739: ['37442']
Community 740: ['37444']
Community 741: ['37445']
Community 742: ['37446']
Community 743: ['37447']
Community 744: ['37448']
Community 745: ['37449']
Community 746: ['37450']
Community 747: ['37451']
Community 748: ['37452']
Community 749: ['37454']
Community 750: ['37455']
Community 751: ['37457']
Community 752: ['37458']
Community 753: ['37459']
Community 754: ['37460']
Community 755: ['37461']
Community 756: ['37462']
Community 757: ['37463']
Community 758: ['37464']
Community 759: ['37465']
Community 760: ['37467']
Community 761: ['37468']
Community 762: ['37470']
Community 763: ['37471']
Community 764: ['37472']
Community 765: ['37473']
Community 766: ['37474']
Community 767: ['37475']
Community 768: ['37476']
Community 769: ['37477']
Community 770: ['37478']
Community 771: ['37480']
Community 772: ['37481']
Community 773: ['37483']
Community 774: ['37484']
Community 775: ['37485']
Community 776: ['37486']
Community 777: ['37487']
Community 778: ['37488']
Community 779: ['37489']
Community 780: ['37491']
Community 781: ['37492']
Community 782: ['37494']
Community 783: ['37495']
Community 784: ['37496']
Community 785: ['37497']
Community 786: ['37498']
Community 787: ['37499']
Community 788: ['37500']
Community 789: ['37502']
Community 790: ['37503']
Community 791: ['37505']
Community 792: ['37506']
Community 793: ['37507']
Community 794: ['37508']
Community 795: ['37509']
Community 796: ['37510']
Community 797: ['37511']
Community 798: ['37512']
Community 799: ['37513']
Community 800: ['37515']
Community 801: ['37516']
Community 802: ['37518']
Community 803: ['37519']
Community 804: ['37520']
Community 805: ['37521']
Community 806: ['37522']
Community 807: ['37523']
Community 808: ['37524']
Community 809: ['37525']
Community 810: ['37526']
Community 811: ['37528']
Community 812: ['37529']
Community 813: ['37531']
Community 814: ['37532']
Community 815: ['37533']
Community 816: ['37534']
Community 817: ['37535']
Community 818: ['37536']
Community 819: ['37537']
Community 820: ['37539']
Community 821: ['37540']
Community 822: ['37542']
Community 823: ['37543']
Community 824: ['37544']
Community 825: ['37545']
Community 826: ['37546']
Community 827: ['37547']
Community 828: ['37548']
Community 829: ['37549']
Community 830: ['37550']
Community 831: ['37552']
Community 832: ['37553']
Community 833: ['37555']
Community 834: ['37556']
Community 835: ['37557']
Community 836: ['37558']
Community 837: ['37559']
Community 838: ['37560']
Community 839: ['37561']
Community 840: ['37562']
Community 841: ['37563']
Community 842: ['37565']
Community 843: ['37566']
Community 844: ['37568']
Community 845: ['37569']
Community 846: ['37570']
Community 847: ['37571']
Community 848: ['37572']
Community 849: ['37573']
Community 850: ['37574']
Community 851: ['37576']
Community 852: ['37577']
Community 853: ['37579']
Community 854: ['37580']
Community 855: ['37581']
Community 856: ['37582']
Community 857: ['37583']
Community 858: ['37584']
Community 859: ['37585']
Community 860: ['37586']
Community 861: ['37587']
Community 862: ['37589']
Community 863: ['37590']
Community 864: ['37592']
Community 865: ['37593']
Community 866: ['37594']
Community 867: ['37595']
Community 868: ['37596']
Community 869: ['37597']
Community 870: ['37598']
Community 871: ['37599']
Community 872: ['37600']
Community 873: ['37602']
Community 874: ['37603']
Community 875: ['37605']
Community 876: ['37606']
Community 877: ['37607']
Community 878: ['37608']
Community 879: ['37609']
Community 880: ['37610']
Community 881: ['37611']
Community 882: ['37612']
Community 883: ['37613']
Community 884: ['37615']
Community 885: ['37616']
Community 886: ['37618']
Community 887: ['37619']
Community 888: ['37620']
Community 889: ['37621']
Community 890: ['37622']
Community 891: ['37623']
Community 892: ['37624']
Community 893: ['37626']
Community 894: ['37627']
Community 895: ['37629']
Community 896: ['37630']
Community 897: ['37631']
Community 898: ['37632']
Community 899: ['37633']
Community 900: ['37634']
Community 901: ['37635']
Community 902: ['37636']
Community 903: ['37637']
Community 904: ['37639']
Community 905: ['37640']
Community 906: ['37642']
Community 907: ['37643']
Community 908: ['37644']
Community 909: ['37645']
Community 910: ['37646']
Community 911: ['37647']
Community 912: ['37648']
Community 913: ['37649']
Community 914: ['37650']
Community 915: ['37652']
Community 916: ['37653']
Community 917: ['37655']
Community 918: ['37656']
Community 919: ['37657']
Community 920: ['37658']
Community 921: ['37659']
Community 922: ['37660']
Community 923: ['37661']
Community 924: ['37662']
Community 925: ['37663']
Community 926: ['37665']
Community 927: ['37666']
Community 928: ['37668']
Community 929: ['37669']
Community 930: ['37670']
Community 931: ['37671']
Community 932: ['37672']
Community 933: ['37673']
Community 934: ['37674']
Community 935: ['37675']
Community 936: ['37676']
Community 937: ['37678']
Community 938: ['37679']
Community 939: ['37681']
Community 940: ['37682']
Community 941: ['37683']
Community 942: ['37684']
Community 943: ['37685']
Community 944: ['37686']
Community 945: ['37687']
Community 946: ['37689']
Community 947: ['37690']
Community 948: ['37692']
Community 949: ['37693']
Community 950: ['37694']
Community 951: ['37695']
Community 952: ['37696']
Community 953: ['37697']
Community 954: ['37698']
Community 955: ['37700']
Community 956: ['37701']
Community 957: ['37703']
Community 958: ['37704']
Community 959: ['37705']
Community 960: ['37706']
Community 961: ['37707']
Community 962: ['37708']
Community 963: ['37709']
Community 964: ['37711']
Community 965: ['37712']
Community 966: ['37714']
Community 967: ['37715']
Community 968: ['37716']
Community 969: ['37717']
Community 970: ['37718']
Community 971: ['37719']
Community 972: ['37720']
Community 973: ['37721']
Community 974: ['37722']
Community 975: ['37724']
Community 976: ['37725']
Community 977: ['37727']
Community 978: ['37728']
Community 979: ['37729']
Community 980: ['37730']
Community 981: ['37731']
Community 982: ['37732']
Community 983: ['37733']
Community 984: ['37735']
Community 985: ['37736']
Community 986: ['37738']
Community 987: ['37739']
Community 988: ['37740']
Community 989: ['37741']
Community 990: ['37742']
Community 991: ['37743']
Community 992: ['37744']
Community 993: ['37746']
Community 994: ['37747']
Community 995: ['37749']
Community 996: ['37750']
Community 997: ['37751']
Community 998: ['37752']
Community 999: ['37753']
Community 1000: ['37754']
Community 1001: ['37755']
Community 1002: ['37756']
Community 1003: ['37757']
Community 1004: ['37759']
Community 1005: ['37760']
Community 1006: ['37762']
Community 1007: ['37763']
Community 1008: ['37764']
Community 1009: ['37765']
Community 1010: ['37766']
Community 1011: ['37767']
Community 1012: ['37768']
Community 1013: ['37769']
Community 1014: ['37770']
Community 1015: ['37772']
Community 1016: ['37773']
Community 1017: ['37775']
Community 1018: ['37776']
Community 1019: ['37777']
Community 1020: ['37778']
Community 1021: ['37779']
Community 1022: ['37780']
Community 1023: ['37781']
Community 1024: ['37783']
Community 1025: ['37784']
Community 1026: ['37786']
Community 1027: ['37787']
Community 1028: ['37788']
Community 1029: ['37789']
Community 1030: ['37790']
Community 1031: ['37791']
Community 1032: ['37792']
Community 1033: ['37794']
Community 1034: ['37795']
Community 1035: ['37797']
Community 1036: ['37798']
Community 1037: ['37799']
Community 1038: ['37800']
Community 1039: ['37801']
Community 1040: ['37802']
Community 1041: ['37803']
Community 1042: ['37804']
Community 1043: ['37805']
Community 1044: ['37807']
Community 1045: ['37808']
Community 1046: ['37810']
Community 1047: ['37811']
Community 1048: ['37812']
Community 1049: ['37813']
Community 1050: ['37814']
Community 1051: ['37815']
Community 1052: ['37816']
Community 1053: ['37817']
Community 1054: ['37818']
Community 1055: ['37820']
Community 1056: ['37821']
Community 1057: ['37823']
Community 1058: ['37824']
Community 1059: ['37825']
Community 1060: ['37826']
Community 1061: ['37827']
Community 1062: ['37828']
Community 1063: ['37829']
Community 1064: ['37830']
Community 1065: ['37831']
Community 1066: ['37833']
Community 1067: ['37834']
Community 1068: ['37836']
Community 1069: ['37837']
Community 1070: ['37838']
Community 1071: ['37839']
Community 1072: ['37840']
Community 1073: ['37841']
Community 1074: ['37842']
Community 1075: ['37844']
Community 1076: ['37845']
Community 1077: ['37847']
Community 1078: ['37848']
Community 1079: ['37849']
Community 1080: ['37850']
Community 1081: ['37851']
Community 1082: ['37852']
Community 1083: ['37853']
Community 1084: ['37855']
Community 1085: ['37856']
Community 1086: ['37858']
Community 1087: ['37859']
Community 1088: ['37860']
Community 1089: ['37861']
Community 1090: ['37862']
Community 1091: ['37863']
Community 1092: ['37864']
Community 1093: ['37866']
Community 1094: ['37867']
Community 1095: ['37869']
Community 1096: ['37870']
Community 1097: ['37871']
Community 1098: ['37872']
Community 1099: ['37873']
Community 1100: ['37874']
Community 1101: ['37875']
Community 1102: ['37876']
Community 1103: ['37877']
Community 1104: ['37879']
Community 1105: ['37880']
Community 1106: ['37882']
Community 1107: ['37883']
Community 1108: ['37884']
Community 1109: ['37885']
Community 1110: ['37886']
Community 1111: ['37887']
Community 1112: ['37888']
Community 1113: ['37890']
Community 1114: ['37891']
Community 1115: ['37893']
Community 1116: ['37894']
Community 1117: ['37895']
Community 1118: ['37896']
Community 1119: ['37897']
Community 1120: ['37898']
Community 1121: ['37899']
Community 1122: ['37901']
Community 1123: ['37902']
Community 1124: ['37904']
Community 1125: ['37905']
Community 1126: ['37906']
Community 1127: ['37907']
Community 1128: ['37908']
Community 1129: ['37909']
Community 1130: ['37910']
Community 1131: ['37912']
Community 1132: ['37913']
Community 1133: ['37915']
Community 1134: ['37916']
Community 1135: ['37917']
Community 1136: ['37918']
Community 1137: ['37919']
Community 1138: ['37920']
Community 1139: ['37921']
Community 1140: ['37923']
Community 1141: ['37924']
Community 1142: ['37926']
Community 1143: ['37927']
Community 1144: ['37928']
Community 1145: ['37929']
Community 1146: ['37930']
Community 1147: ['37931']
Community 1148: ['37932']
Community 1149: ['37933']
Community 1150: ['37934']
Community 1151: ['37936']
Community 1152: ['37937']
Community 1153: ['37939']
Community 1154: ['37940']
Community 1155: ['37941']
Community 1156: ['37942']
Community 1157: ['37943']
Community 1158: ['37944']
Community 1159: ['37945']
Community 1160: ['37946']
Community 1161: ['37947']
Community 1162: ['37949']
Community 1163: ['37950']
Community 1164: ['37952']
Community 1165: ['37953']
Community 1166: ['37954']
Community 1167: ['37955']
Community 1168: ['37956']
Community 1169: ['37957']
Community 1170: ['37958']
Community 1171: ['37960']
Community 1172: ['37961']
Community 1173: ['37963']
Community 1174: ['37964']
Community 1175: ['37965']
Community 1176: ['37966']
Community 1177: ['37967']
Community 1178: ['37968']
Community 1179: ['37969']
Community 1180: ['37970']
Community 1181: ['37971']
Community 1182: ['37973']
