Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd', '383'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '385': ['385', '388']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '385', '386', '387', '388', 'c', 'd'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '383': ['383', '384']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd'], '379': ['379', '381', '382', '383', 'a', 'b'], '385': ['385', '388', '389', '390', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '383': ['383'], '385': ['385', '388']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd', '385'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '383': ['383'], '388': ['388']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd', '383'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '385': ['385'], '388': ['388']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '385', '386', '387', '388', 'c', 'd'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '383': ['383'], '384': ['384']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '383': ['383'], '385': ['385'], '388': ['388']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd'], '379': ['379', '381', '382', '383', 'a', 'b'], '385': ['385'], '388': ['388'], '389': ['389'], '390': ['390'], 'out': ['out']})"
11,"defaultdict(<class 'list'>, {'378': ['378', '380', '385', '386', '387', '388', 'c', 'd'], '379': ['379'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '389': ['389'], '390': ['390'], 'a': ['a'], 'b': ['b'], 'out': ['out']})"
11,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '381', '382', '389', '390', 'a', 'b', 'out'], '380': ['380'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], 'c': ['c'], 'd': ['d']})"
12,"defaultdict(<class 'list'>, {'378': ['378', '380', '384', '386', '387', 'c', 'd'], '379': ['379'], '381': ['381'], '382': ['382'], '383': ['383'], '385': ['385'], '388': ['388'], '389': ['389'], '390': ['390'], 'a': ['a'], 'b': ['b'], 'out': ['out']})"
18,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
