Total Number of Comms,Solution
4,"defaultdict(<class 'list'>, {'378': ['378', '384', 'a', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '381': ['381', '382', '383', '393', '394', '395', 'b', 'out'], '389': ['389', '390', '392']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '381', '389', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out', '392'], '384': ['384', '390', 'a']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '387', 'c', 'd'], '379': ['379', '383', '388', '390', '392', '393', 'a'], '380': ['380', '389'], '382': ['382', 'b'], '384': ['384', '385', '386', '391', '394', '395', 'out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '389', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '384': ['384', '390', 'a'], '392': ['392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '384', 'a', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '381': ['381'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '389': ['389', '390', '392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '386', '387', '391'], '380': ['380', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '388': ['388', '392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '389', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '384': ['384', 'a'], '390': ['390', '392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '387', '388', '392'], '380': ['380', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386', '391']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379'], '380': ['380', '388', 'c'], '382': ['382', '383', '392', '393', 'b'], '386': ['386', '387', '391', '394', '395', 'out']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '387', '388', '392'], '380': ['380', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386'], '391': ['391']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '386', '387', '391'], '380': ['380', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '388': ['388'], '392': ['392']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '389', '390', 'a', 'd'], '380': ['380'], '381': ['381', '387', 'c'], '382': ['382', '383', '391', '393', '394', '395', 'b', 'out'], '386': ['386'], '388': ['388', '392']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', 'c', 'd'], '379': ['379', '387', '388', '392'], '380': ['380', '389', '390'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386', '391'], 'a': ['a']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '387', 'c', 'd'], '379': ['379', '383', '388', '390', '392', '393', 'a'], '380': ['380'], '382': ['382', 'b'], '384': ['384', '385', '386', '391', '394', '395', 'out'], '389': ['389']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '389', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '384': ['384'], '390': ['390', '392'], 'a': ['a']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '388', '392'], '380': ['380'], '382': ['382', '383', '393', 'b'], '386': ['386'], '387': ['387', '391', '394', '395', 'c', 'out']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '381', '389', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '384': ['384'], '390': ['390'], '392': ['392'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '384', 'a', 'd'], '379': ['379', '380', '385', '386', '387', '388', '391', 'c'], '381': ['381'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '389': ['389'], '390': ['390'], '392': ['392']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '381', '387', 'c', 'd'], '379': ['379', '383', '388', '390', '392', '393', 'a'], '380': ['380'], '382': ['382'], '384': ['384', '385', '386', '391', '394', '395', 'out'], '389': ['389'], 'b': ['b']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '389', '390', 'a', 'd'], '380': ['380'], '381': ['381', '387', 'c'], '382': ['382', '383', '391', '393', '394', '395', 'b', 'out'], '386': ['386'], '388': ['388'], '392': ['392']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', 'c', 'd'], '379': ['379', '387', '388', '392'], '380': ['380', '389', '390'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386'], '391': ['391'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '387', '388', '392'], '380': ['380'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386'], '391': ['391'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379', '386', '387', '391'], '380': ['380'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '388': ['388'], '392': ['392'], 'c': ['c']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379'], '380': ['380'], '382': ['382', '383', '393', 'b'], '386': ['386'], '387': ['387', '391', '394', '395', 'c', 'out'], '388': ['388'], '392': ['392']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '381', '387', 'c', 'd'], '379': ['379', '383', '388', '390', '392', '393', 'a'], '380': ['380'], '382': ['382'], '384': ['384'], '385': ['385', '386', '391', '394', '395', 'out'], '389': ['389'], 'b': ['b']})"
9,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '389', '390', 'a', 'd'], '380': ['380'], '381': ['381'], '382': ['382', '383', '391', '393', '394', '395', 'b', 'out'], '386': ['386'], '387': ['387'], '388': ['388'], '392': ['392'], 'c': ['c']})"
9,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379'], '380': ['380', '388', 'c'], '382': ['382'], '383': ['383'], '386': ['386', '387', '391', '394', '395', 'out'], '392': ['392'], '393': ['393'], 'b': ['b']})"
9,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', 'c', 'd'], '379': ['379', '387', '388', '392'], '380': ['380'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386'], '389': ['389'], '390': ['390'], '391': ['391'], 'a': ['a']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '381', '384', '385', '389', '390', 'a', 'd'], '379': ['379'], '380': ['380'], '382': ['382', '383', '393', '394', '395', 'b', 'out'], '386': ['386'], '387': ['387'], '388': ['388'], '391': ['391'], '392': ['392'], 'c': ['c']})"
