Time Cost: 0.08590340614318848s
Community 1: ['641']
Community 2: ['642']
Community 3: ['643']
Community 4: ['644']
Community 5: ['645']
Community 6: ['646']
Community 7: ['647']
Community 8: ['648']
Community 9: ['649']
Community 10: ['650']
Community 11: ['651']
Community 12: ['652']
Community 13: ['653']
Community 14: ['654']
Community 15: ['655']
Community 16: ['656']
Community 17: ['657']
Community 18: ['658']
Community 19: ['659']
Community 20: ['660']
Community 21: ['661']
Community 22: ['662']
Community 23: ['663']
Community 24: ['664']
Community 25: ['665']
Community 26: ['666']
Community 27: ['667']
Community 28: ['668']
Community 29: ['669']
Community 30: ['670']
Community 31: ['671']
Community 32: ['672']
Community 33: ['673']
Community 34: ['674']
Community 35: ['675']
Community 36: ['676']
Community 37: ['677']
Community 38: ['678']
Community 39: ['679']
Community 40: ['680']
Community 41: ['681']
Community 42: ['682']
Community 43: ['683']
Community 44: ['684']
Community 45: ['685']
Community 46: ['686']
Community 47: ['687']
Community 48: ['688']
Community 49: ['689']
Community 50: ['690']
Community 51: ['691']
Community 52: ['692']
Community 53: ['693']
Community 54: ['694']
Community 55: ['695']
Community 56: ['696']
Community 57: ['697']
Community 58: ['698']
Community 59: ['699']
Community 60: ['700']
Community 61: ['701']
Community 62: ['702']
Community 63: ['703']
Community 64: ['704']
Community 65: ['705']
Community 66: ['706']
Community 67: ['707']
Community 68: ['708']
Community 69: ['709']
Community 70: ['710']
Community 71: ['711']
Community 72: ['712']
Community 73: ['713']
Community 74: ['714']
Community 75: ['715']
Community 76: ['716']
Community 77: ['717']
Community 78: ['718']
Community 79: ['719']
Community 80: ['720']
Community 81: ['721']
Community 82: ['722']
Community 83: ['723']
Community 84: ['724']
Community 85: ['725']
Community 86: ['726']
Community 87: ['727']
Community 88: ['728']
Community 89: ['729']
Community 90: ['730']
Community 91: ['731']
Community 92: ['732']
Community 93: ['733']
Community 94: ['734']
Community 95: ['735']
Community 96: ['736']
Community 97: ['737']
Community 98: ['738']
Community 99: ['739']
Community 100: ['740']
Community 101: ['741']
Community 102: ['742']
Community 103: ['743']
Community 104: ['744']
Community 105: ['745']
Community 106: ['746']
Community 107: ['747']
Community 108: ['748']
Community 109: ['749']
Community 110: ['750']
Community 111: ['751']
Community 112: ['752']
Community 113: ['753']
Community 114: ['754']
Community 115: ['755']
Community 116: ['756']
Community 117: ['757']
Community 118: ['758']
Community 119: ['759']
Community 120: ['760']
Community 121: ['761']
Community 122: ['762']
Community 123: ['763']
Community 124: ['764']
Community 125: ['765']
Community 126: ['766']
Community 127: ['767']
Community 128: ['768']
Community 129: ['769']
Community 130: ['770']
Community 131: ['771']
Community 132: ['772']
Community 133: ['773']
Community 134: ['774']
Community 135: ['775']
Community 136: ['776']
Community 137: ['777']
Community 138: ['778']
Community 139: ['779']
Community 140: ['780']
