Community 1: ['1', '4', '12']
Community 2: ['2', '13', '14']
Community 3: ['3', '41', '47']
Community 4: ['5', '17', '26']
Community 5: ['6', '16', '25']
Community 6: ['7', '18', '38']
Community 7: ['8', '19', '33']
Community 8: ['9', '43', '50']
Community 9: ['10', '11', '21']
Community 10: ['15', '24', '31']
Community 11: ['20', '130', '131']
Community 12: ['22', '32', '36']
Community 13: ['23', '30', '39']
Community 14: ['27', '34', '44']
Community 15: ['28', '37', '42']
Community 16: ['29', '45', '51']
Community 17: ['35', '49']
Community 18: ['40', '46', '52']
Community 19: ['48', '53']
Community 20: ['54', '57', '59']
Community 21: ['55', '58', '60']
Community 22: ['56', '61', '82']
Community 23: ['62', '65', '66']
Community 24: ['63', '64', '113']
Community 25: ['67', '68', '69']
Community 26: ['70', '71', '90']
Community 27: ['72', '75', '91']
Community 28: ['73', '74', '76']
Community 29: ['77', '79', '80']
Community 30: ['78', '81', '84']
Community 31: ['83', '86', '88']
Community 32: ['85', '87', '89']
Community 33: ['92', '94', '98']
Community 34: ['93', '104', '108']
Community 35: ['95', '100']
Community 36: ['96', '106']
Community 37: ['97', '99', '107']
Community 38: ['101', '102', '103']
Community 39: ['105', '109', '111']
Community 40: ['110', '123', '127']
Community 41: ['112', '114', '116']
Community 42: ['115', '117', '122']
Community 43: ['118', '128', '129']
Community 44: ['119', '120', '124']
Community 45: ['121', '125', '126']
