Community 1: ['1', '29', '118']
Community 2: ['2', '4', '14']
Community 3: ['3', '41', '47']
Community 4: ['5', '15', '17']
Community 5: ['6', '45', '51']
Community 6: ['7', '18', '38']
Community 7: ['8', '19', '28']
Community 8: ['9', '43', '50']
Community 9: ['10', '11', '21']
Community 10: ['12', '69', '91']
Community 11: ['13', '20', '32']
Community 12: ['16', '25', '54']
Community 13: ['22', '36', '52']
Community 14: ['23', '30', '39']
Community 15: ['24', '37', '42']
Community 16: ['26', '33', '62']
Community 17: ['27', '34', '44']
Community 18: ['31', '40', '46']
Community 19: ['35', '49', '113']
Community 20: ['48', '53', '56']
Community 21: ['55', '58', '60']
Community 22: ['57', '72', '75']
Community 23: ['59', '61', '82']
Community 24: ['63', '64', '90']
Community 25: ['65', '66', '67']
Community 26: ['68', '70', '71']
Community 27: ['73', '74', '76']
Community 28: ['77', '79', '80']
Community 29: ['78', '81', '84']
Community 30: ['83', '86', '88']
Community 31: ['85', '87', '89']
Community 32: ['92', '94', '98']
Community 33: ['93', '104', '108']
Community 34: ['95', '99']
Community 35: ['96', '100', '106']
Community 36: ['97', '107', '110']
Community 37: ['101', '102', '103']
Community 38: ['105', '109', '111']
Community 39: ['112', '114', '116']
Community 40: ['115', '117', '122']
Community 41: ['119', '120', '124']
Community 42: ['121', '125', '126']
Community 43: ['123', '127']
Community 44: ['128', '129']
Community 45: ['130', '131']
