Community 1: ['1', '4', '12']
Community 2: ['2', '13', '22']
Community 3: ['3', '14', '23']
Community 4: ['5', '17', '26']
Community 5: ['6', '16', '25']
Community 6: ['7', '18', '38']
Community 7: ['8', '19', '33']
Community 8: ['9', '43', '50']
Community 9: ['10', '11', '21']
Community 10: ['15', '24', '37']
Community 11: ['20', '27', '35']
Community 12: ['28', '130', '131']
Community 13: ['29', '45', '51']
Community 14: ['30', '39', '113']
Community 15: ['31', '123', '127']
Community 16: ['32', '41', '47']
Community 17: ['34', '44', '49']
Community 18: ['36', '96', '106']
Community 19: ['40', '46', '52']
Community 20: ['42', '48', '53']
Community 21: ['54', '57', '59']
Community 22: ['55', '58', '60']
Community 23: ['56', '61', '82']
Community 24: ['62', '65', '66']
Community 25: ['63', '64', '90']
Community 26: ['67', '72', '75']
Community 27: ['68', '70', '71']
Community 28: ['69', '91', '94']
Community 29: ['73', '74', '76']
Community 30: ['77', '79', '80']
Community 31: ['78', '81', '84']
Community 32: ['83', '86', '88']
Community 33: ['85', '87', '89']
Community 34: ['92', '98', '105']
Community 35: ['93', '104', '108']
Community 36: ['95', '100']
Community 37: ['97', '99', '107']
Community 38: ['101', '102', '103']
Community 39: ['109', '110', '111']
Community 40: ['112', '114', '116']
Community 41: ['115', '117', '121']
Community 42: ['118', '128', '129']
Community 43: ['119', '120', '124']
Community 44: ['122', '125', '126']
