Total Number of Comms,Solution
4,"defaultdict(<class 'list'>, {'378': ['378', '383', '384', '385', '386', '387', '388', 'd'], '379': ['379', '389', '390', '391', '392', '393', 'a', 'out'], '380': ['380', 'b'], '381': ['381', '382', 'c']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '385', '386', 'b', 'd'], '379': ['379', '389', '390', '391', '392', '393', 'a', 'out'], '381': ['381', '382', 'c'], '387': ['387', '388']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '386', 'b', 'c', 'd'], '379': ['379', '382'], '384': ['384', '385'], '387': ['387', '388', '390', '391', '392', '393', 'a', 'out'], '389': ['389']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '383', '384', '385', '386', '387', '388', 'd'], '379': ['379', '389', '390', '391', '392', '393', 'a', 'out'], '380': ['380'], '381': ['381', '382', 'c'], 'b': ['b']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '386', 'b', 'c', 'd'], '379': ['379'], '382': ['382', '384', '385'], '387': ['387', '388', '390', '391', '392', '393', 'a', 'out'], '389': ['389']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '385', '386', 'b', 'd'], '379': ['379', '389', '390', '391', '392', '393', 'a', 'out'], '381': ['381', '382', 'c'], '387': ['387'], '388': ['388']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '385', '386', 'b', 'd'], '379': ['379', '388', '391', '393', 'a', 'out'], '381': ['381', '382', 'c'], '387': ['387', '390', '392'], '389': ['389']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '384', '386', 'b', 'd'], '379': ['379'], '382': ['382', '385'], '387': ['387', '388', '390', '391', '392', '393', 'a', 'out'], '389': ['389'], 'c': ['c']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '384', '386', 'b', 'd'], '379': ['379', '388', '391', '393', 'a', 'out'], '382': ['382', '385'], '387': ['387', '390', '392'], '389': ['389'], 'c': ['c']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '381', '383', '386', '387', 'c', 'd'], '379': ['379', '382'], '380': ['380', '389', 'b'], '384': ['384'], '385': ['385'], '388': ['388', '390', '391', '392', '393', 'a', 'out']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '386', 'b', 'c', 'd'], '379': ['379', '382'], '384': ['384'], '385': ['385'], '387': ['387', '388', '390', '391', '392', '393', 'a', 'out'], '389': ['389']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '381', '383', '386', '387', 'c', 'd'], '379': ['379'], '380': ['380', '389', 'b'], '382': ['382'], '384': ['384'], '385': ['385'], '388': ['388', '390', '391', '392', '393', 'a', 'out']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '384', '386', 'b', 'd'], '379': ['379'], '382': ['382'], '385': ['385'], '387': ['387', '388', '390', '391', '392', '393', 'a', 'out'], '389': ['389'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '385', '386', 'b', 'd'], '379': ['379', '389', '390', '391', '392', '393', 'a', 'out'], '381': ['381'], '382': ['382'], '387': ['387'], '388': ['388'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '385', '386', 'b', 'd'], '379': ['379', '388', '391', '393', 'a', 'out'], '381': ['381', '382', 'c'], '387': ['387'], '389': ['389'], '390': ['390'], '392': ['392']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '386', 'b', 'c', 'd'], '379': ['379'], '382': ['382'], '384': ['384'], '385': ['385'], '387': ['387', '388', '390', '391', '392', '393', 'a', 'out'], '389': ['389']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '384', '386', 'b', 'd'], '379': ['379', '382', '385', '391', '393', 'a', 'out'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390', '392'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '383', '384', '385', '386', '387', '388', 'd'], '379': ['379', '389', '390', '391', '392', '393', 'a', 'out'], '380': ['380'], '381': ['381'], '382': ['382'], 'b': ['b'], 'c': ['c']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '384', '386', 'b', 'd'], '379': ['379', '382', '385', '391', '393', 'a', 'out'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], '392': ['392'], 'c': ['c']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '383', '384', '386', 'b', 'd'], '379': ['379', '388', '391', '393', 'a', 'out'], '382': ['382', '385'], '387': ['387'], '389': ['389'], '390': ['390'], '392': ['392'], 'c': ['c']})"
9,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '385', '386', 'b', 'd'], '379': ['379', '388', '391', '393', 'a', 'out'], '381': ['381'], '382': ['382'], '387': ['387'], '389': ['389'], '390': ['390'], '392': ['392'], 'c': ['c']})"
