Benchmark,Comm before verify,Cell-cell Edges before verify,Comm after verify,Edges after verify,Cell-cell Edges before merge,Edges after merge,,,,,,
5input_42404,32,42,32,42,6,15,,,,,,
5input_42709,27,35,27,35,4,11,,,,,,
5input_43512,34,46,34,46,6,16,,,,,,
5input_43950,28,36,28,36,5,13,,,,,,
5input_44062,36,48,36,48,7,18,,,,,,
5input_44784,26,33,26,33,4,9,,,,,,
5input_46310,22,27,22,27,3,5,,,,,,
5input_46493,22,29,22,29,4,10,,,,,,
5input_47017,29,39,29,39,6,16,,,,,,
5input_47630,29,38,29,38,5,12,,,,,,
5input_47980,28,35,28,35,5,12,,,,,,
5input_48024,33,44,33,44,6,15,,,,,,
5input_49091,31,42,31,42,5,14,,,,,,
5input_4981,27,34,27,34,5,12,,,,,,
5input_52531,30,39,30,39,5,13,,,,,,
5input_53065,31,41,31,41,6,15,,,,,,
5input_54207,27,35,27,35,5,10,,,,,,
5input_54264,27,34,27,34,4,10,,,,,,
5input_54680,33,42,33,42,5,13,,,,,,
5input_5556,31,41,31,41,5,12,,,,,,
5input_55865,31,41,31,41,6,14,,,,,,
5input_5603,28,37,28,37,5,14,,,,,,
5input_56870,28,36,28,36,4,9,,,,,,
5input_57143,31,42,31,42,6,16,,,,,,
5input_57515,31,40,31,40,4,10,,,,,,
5input_57612,31,43,31,43,6,17,,,,,,
5input_58805,38,53,38,53,8,22,,,,,,
5input_59688,25,33,25,33,5,11,,,,,,
5input_59988,25,33,25,33,5,13,,,,,,
5input_61042,27,35,27,35,5,12,,,,,,
5input_61281,22,25,22,25,4,7,,,,,,
5input_64931,27,34,27,34,4,10,,,,,,
5input_65376,22,26,22,26,4,7,,,,,,
5input_65385,33,46,33,46,7,18,,,,,,
5input_65532,25,32,25,32,5,12,,,,,,
5input_65845,37,51,37,51,8,22,,,,,,
5input_66234,33,46,33,46,7,20,,,,,,
5input_6684,22,25,22,25,3,5,,,,,,
5input_66979,37,51,37,51,8,22,,,,,,
5input_6832,30,40,30,40,4,9,,,,,,
5input_68956,31,42,31,42,6,16,,,,,,
5input_70658,28,37,28,37,5,12,,,,,,
5input_71130,32,40,32,40,5,13,,,,,,
5input_71165,27,36,27,36,5,12,,,,,,
5input_71517,31,39,31,39,4,9,,,,,,
5input_72312,29,37,29,37,4,11,,,,,,
5input_72745,31,41,31,41,5,13,,,,,,
5input_74178,27,35,27,35,5,12,,,,,,
5input_75086,36,49,36,49,7,18,,,,,,
5input_76297,29,39,29,39,5,14,,,,,,
5input_76407,30,41,30,41,4,11,,,,,,
5input_78606,29,39,29,39,6,16,,,,,,
5input_79845,26,34,26,34,5,10,,,,,,
5input_80577,31,41,31,41,5,14,,,,,,
5input_80727,29,38,29,38,5,11,,,,,,
5input_82006,23,29,23,29,4,9,,,,,,
5input_87277,24,31,24,31,4,9,,,,,,
5input_87839,25,31,25,31,4,9,,,,,,
5input_88715,32,42,32,42,6,16,,,,,,
5input_90373,33,44,33,44,7,17,,,,,,
5input_90460,35,48,35,48,7,18,,,,,,
5input_90463,37,50,37,50,7,17,,,,,,
5input_90564,21,24,21,24,3,6,,,,,,
5input_90615,28,35,28,35,4,11,,,,,,
5input_91237,35,49,35,49,8,21,,,,,,
5input_9210,37,52,37,52,8,23,,,,,,
5input_92119,25,32,25,32,4,10,,,,,,
5input_92868,28,37,28,37,4,11,,,,,,
5input_94058,37,53,37,53,8,21,,,,,,
5input_96930,27,35,27,35,4,12,,,,,,
5input_98263,24,30,24,30,4,8,,,,,,
6input_0,49,69,49,69,12,32,44.11,61.73,44.11,61.73,10.24,26.91
6input_1,50,71,50,71,13,34,,,,,,
6input_10,59,90,59,90,17,48,,,,,,
6input_11,55,80,55,80,14,39,,,,,,
6input_12,57,84,57,84,15,42,,,,,,
6input_13,19,20,19,20,3,2,,,,,,
6input_14,58,84,58,84,14,40,,,,,,
6input_15,54,78,54,78,14,37,,,,,,
6input_16,32,43,32,43,7,16,,,,,,
6input_17,28,34,28,34,4,9,,,,,,
6input_18,39,53,39,53,9,23,,,,,,
6input_19,41,56,41,56,8,20,,,,,,
6input_2,19,18,19,18,3,2,,,,,,
6input_20,39,55,39,55,8,23,,,,,,
6input_21,29,35,29,35,4,8,,,,,,
6input_22,37,50,37,50,7,20,,,,,,
6input_23,57,83,57,83,15,41,,,,,,
6input_24,46,65,46,65,10,28,,,,,,
6input_25,27,32,27,32,4,7,,,,,,
6input_26,61,91,61,91,17,47,,,,,,
6input_27,42,57,42,57,7,19,,,,,,
6input_28,57,83,57,83,15,41,,,,,,
6input_29,49,73,49,73,13,36,,,,,,
6input_3,28,35,28,35,5,11,,,,,,
6input_30,52,73,52,73,12,33,,,,,,
6input_31,44,63,44,63,12,31,,,,,,
6input_32,36,50,36,50,6,17,,,,,,
6input_33,27,32,27,32,5,9,,,,,,
6input_34,24,26,24,26,3,3,,,,,,
6input_35,48,69,48,69,11,31,,,,,,
6input_36,51,75,51,75,13,37,,,,,,
6input_37,67,100,67,100,18,51,,,,,,
6input_38,56,84,56,84,16,44,,,,,,
6input_39,50,72,50,72,12,33,,,,,,
6input_4,51,72,51,72,12,32,,,,,,
6input_40,62,90,62,90,16,43,,,,,,
6input_41,24,28,24,28,3,5,,,,,,
6input_42,38,50,38,50,7,17,,,,,,
6input_43,25,29,25,29,4,6,,,,,,
6input_44,62,90,62,90,15,43,,,,,,
6input_45,38,52,38,52,7,18,,,,,,
6input_46,44,61,44,61,9,25,,,,,,
6input_47,48,69,48,69,11,31,,,,,,
6input_48,44,62,44,62,10,26,,,,,,
6input_49,40,57,40,57,9,25,,,,,,
6input_5,58,86,58,86,16,44,,,,,,
6input_50,46,63,46,63,10,27,,,,,,
6input_51,25,30,25,30,4,8,,,,,,
6input_52,47,69,47,69,12,34,,,,,,
6input_53,47,67,47,67,12,32,,,,,,
6input_54,69,100,69,100,18,49,,,,,,
6input_55,47,68,47,68,12,33,,,,,,
6input_56,54,78,54,78,15,39,,,,,,
6input_57,58,83,58,83,14,39,,,,,,
6input_58,27,33,27,33,5,9,,,,,,
6input_59,43,57,43,57,8,22,,,,,,
6input_6,35,46,35,46,7,15,,,,,,
6input_60,33,44,33,44,7,17,,,,,,
6input_61,57,84,57,84,15,42,,,,,,
6input_62,29,36,29,36,4,8,,,,,,
6input_63,27,31,27,31,4,7,,,,,,
6input_64,29,36,29,36,5,11,,,,,,
6input_65,32,42,32,42,6,15,,,,,,
6input_66,50,74,50,74,13,35,,,,,,
6input_67,65,95,65,95,18,48,,,,,,
6input_68,50,73,50,73,12,33,,,,,,
6input_69,47,65,47,65,9,25,,,,,,
6input_7,34,45,34,45,6,15,,,,,,
6input_70,43,62,43,62,11,29,,,,,,
6input_71,29,35,29,35,4,9,,,,,,
6input_72,64,95,64,95,18,49,,,,,,
6input_73,56,80,56,80,14,38,,,,,,
6input_74,43,58,43,58,9,23,,,,,,
6input_75,53,77,53,77,14,38,,,,,,
6input_76,50,72,50,72,12,34,,,,,,
6input_77,20,19,20,19,3,2,,,,,,
6input_78,49,71,49,71,11,33,,,,,,
6input_79,54,81,54,81,16,43,,,,,,
6input_8,54,78,54,78,14,38,,,,,,
6input_80,47,69,47,69,13,35,,,,,,
6input_81,33,42,33,42,5,10,,,,,,
6input_82,43,58,43,58,8,23,,,,,,
6input_83,46,67,46,67,11,31,,,,,,
6input_84,49,66,49,66,8,20,,,,,,
6input_85,63,94,63,94,19,50,,,,,,
6input_86,20,21,20,21,3,2,,,,,,
6input_87,58,87,58,87,16,44,,,,,,
6input_88,50,75,50,75,14,38,,,,,,
6input_89,51,75,51,75,14,38,,,,,,
6input_9,45,63,45,63,11,28,,,,,,
6input_90,28,33,28,33,4,8,,,,,,
6input_91,39,53,39,53,8,21,,,,,,
6input_92,58,86,58,86,16,44,,,,,,
6input_93,55,79,55,79,14,37,,,,,,
6input_94,47,67,47,67,10,29,,,,,,
6input_95,18,17,18,17,3,2,,,,,,
6input_96,43,62,43,62,11,28,,,,,,
6input_97,47,66,47,66,11,28,,,,,,
6input_98,40,54,40,54,8,20,,,,,,
6input_99,44,63,44,63,10,27,,,,,,
7input_0,76,117,76,117,23,64,102.462686567164,155.65671641791,102.462686567164,155.65671641791,30.6865671641791,82.2089552238806
7input_1,77,120,77,120,25,68,,,,,,
7input_11,74,116,74,116,25,67,,,,,,
7input_12,103,160,103,160,33,89,,,,,,
7input_13,139,216,139,216,45,121,,,,,,
7input_14,156,245,156,245,52,139,,,,,,
7input_16,99,157,99,157,35,92,,,,,,
7input_17,55,80,55,80,13,38,,,,,,
7input_18,158,247,158,247,52,141,,,,,,
7input_2,113,172,113,172,32,88,,,,,,
7input_20,175,273,175,273,58,156,,,,,,
7input_22,62,90,62,90,15,42,,,,,,
7input_24,166,260,166,260,53,144,,,,,,
7input_26,79,121,79,121,25,67,,,,,,
7input_27,35,45,35,45,6,16,,,,,,
7input_29,175,271,175,271,57,153,,,,,,
7input_3,65,96,65,96,18,49,,,,,,
7input_30,136,209,136,209,41,110,,,,,,
7input_32,164,257,164,257,55,147,,,,,,
7input_34,129,200,129,200,39,106,,,,,,
7input_35,55,75,55,75,10,27,,,,,,
7input_36,74,110,74,110,21,57,,,,,,
7input_37,78,114,78,114,21,57,,,,,,
7input_38,32,36,32,36,5,7,,,,,,
7input_40,38,52,38,52,8,19,,,,,,
7input_42,96,149,96,149,30,83,,,,,,
7input_43,70,100,70,100,18,47,,,,,,
7input_46,176,274,176,274,56,151,,,,,,
7input_47,171,264,171,264,51,137,,,,,,
7input_48,186,289,186,289,58,155,,,,,,
7input_49,25,27,25,27,4,6,,,,,,
7input_5,188,292,188,292,58,157,,,,,,
7input_50,170,266,170,266,54,146,,,,,,
7input_51,59,88,59,88,15,42,,,,,,
7input_52,33,39,33,39,5,10,,,,,,
7input_55,54,78,54,78,14,38,,,,,,
7input_56,102,156,102,156,31,85,,,,,,
7input_57,78,115,78,115,22,59,,,,,,
7input_58,158,245,158,245,48,129,,,,,,
7input_59,69,98,69,98,17,44,,,,,,
7input_60,173,269,173,269,56,149,,,,,,
7input_62,81,120,81,120,23,62,,,,,,
7input_64,62,94,62,94,17,49,,,,,,
7input_66,39,50,39,50,7,15,,,,,,
7input_67,100,146,100,146,27,71,,,,,,
7input_68,126,196,126,196,40,110,,,,,,
7input_7,58,80,58,80,13,33,,,,,,
7input_70,173,269,173,269,56,149,,,,,,
7input_72,88,139,88,139,31,82,,,,,,
7input_73,65,95,65,95,18,48,,,,,,
7input_74,176,273,176,273,54,145,,,,,,
7input_75,48,63,48,63,9,23,,,,,,
7input_76,174,270,174,270,58,153,,,,,,
7input_77,24,23,24,23,4,3,,,,,,
7input_78,169,265,169,265,55,150,,,,,,
7input_79,157,242,157,242,49,133,,,,,,
7input_82,176,272,176,272,54,146,,,,,,
7input_83,91,141,91,141,29,79,,,,,,
7input_85,43,60,43,60,8,21,,,,,,
7input_86,44,61,44,61,9,24,,,,,,
7input_88,49,68,49,68,10,27,,,,,,
7input_9,95,150,95,150,33,88,,,,,,
7input_92,64,96,64,96,19,51,,,,,,
7input_93,171,264,171,264,52,138,,,,,,
7input_96,49,70,49,70,13,34,,,,,,
7input_97,180,279,180,279,56,153,,,,,,
7input_98,42,55,42,55,8,19,,,,,,
8input_0,132,199,132,199,34,90,173.71875,267.71875,173.71875,267.71875,52.875,140.90625
8input_1,239,374,239,374,76,206,,,,,,
8input_13,125,188,125,188,32,84,,,,,,
8input_14,255,409,255,409,90,244,,,,,,
8input_19,236,367,236,367,75,198,,,,,,
8input_3,198,304,198,304,61,159,,,,,,
8input_32,191,294,191,294,58,156,,,,,,
8input_35,204,321,204,321,66,175,,,,,,
8input_36,254,396,254,396,80,214,,,,,,
8input_38,303,479,303,479,102,272,,,,,,
8input_4,159,241,159,241,44,114,,,,,,
8input_45,43,53,43,53,7,14,,,,,,
8input_46,75,107,75,107,16,42,,,,,,
8input_6,83,124,83,124,23,63,,,,,,
8input_62,76,108,76,108,19,51,,,,,,
8input_64,183,286,183,286,59,156,,,,,,
8input_67,309,487,309,487,100,268,,,,,,
8input_68,191,294,191,294,56,150,,,,,,
8input_69,143,219,143,219,39,106,,,,,,
8input_70,115,170,115,170,30,79,,,,,,
8input_74,308,488,308,488,101,274,,,,,,
8input_75,296,471,296,471,101,270,,,,,,
8input_79,246,383,246,383,74,202,,,,,,
8input_8,32,35,32,35,5,6,,,,,,
8input_82,142,216,142,216,40,107,,,,,,
8input_83,41,52,41,52,7,17,,,,,,
8input_87,52,66,52,66,10,23,,,,,,
8input_9,39,47,39,47,7,14,,,,,,
8input_90,223,347,223,347,70,189,,,,,,
8input_94,289,456,289,456,96,259,,,,,,
8input_95,248,389,248,389,81,218,,,,,,
8input_98,129,197,129,197,33,89,,,,,,
ALU,161,244,161,244,47,125,,,,,,
gray,13,12,13,12,2,1,,,,,,
gray16,61,60,61,60,8,7,,,,,,
gray4,13,12,13,12,2,1,,,,,,
gray64,253,252,253,252,32,31,,,,,,
gray8,29,28,29,28,4,3,,,,,,
hexDisplay,74,109,74,109,21,56,,,,,,
md5_opt_all_12_4_nc,44,56,10,17,7,13,,,,,,
md5_opt_all_12_5_nc,44,56,44,56,5,12,,,,,,
md5_opt_all_12_6_nc,44,56,44,56,4,11,,,,,,
md5_opt_all_20_4_nc,44,56,14,18,5,8,,,,,,
md5_opt_all_20_5_nc,44,56,44,56,4,9,,,,,,
md5_opt_all_20_6_nc,44,56,44,56,3,8,,,,,,
