Benchmark,Comm before verify,Cell-cell Edges before verify,Comm after verify,Edges after verify,Cell-cell Edges before merge,Edges after merge,,,,,,
test4_p4,15,10,20,14
test4_p6,15,7,20,11
test4_p7,15,7,20,11
test4_p9,15,7,20,11
test4_p11,15,7,20,11
test4_p12,15,7,20,11
test4_p13,15,7,20,11
test4_p14,15,7,20,11
test4_p15,15,7,20,11
test4_p0,15,7,20,11
