Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '381', '382', '383', '384', '389', 'c', 'd'], '379': ['379', '388', '391', '392', 'b', '385', '390'], '380': ['380', '386', '387', '393', 'a', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', 'a', 'd', '387', '390'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381', '383', 'c'], '385': ['385', '386']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', '390', '391', 'a', 'd'], '379': ['379', '381', '383', '384', '388', 'b', 'c'], '385': ['385'], '386': ['386', '387', '392', '393', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '381', '382', '383', 'a', 'c', 'd'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '380': ['380', '386', '387', '389', '390'], '385': ['385']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '389', 'a', 'd', '390'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381', '383', 'c'], '385': ['385', '386']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', 'a', 'd', '387', '390'], '379': ['379', '384', '385', '386', '388', '392', 'b'], '381': ['381', '383', 'c'], '391': ['391'], '393': ['393', 'out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '393', 'a', 'd', 'out'], '379': ['379', '384', '385', '386', '388', 'b'], '381': ['381', '383', 'c'], '389': ['389', '390', '391'], '392': ['392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '393', 'a', 'd', 'out'], '379': ['379', '381', '383', '384', '388', 'b', 'c'], '385': ['385', '386'], '389': ['389', '390', '391'], '392': ['392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '393', 'a', 'd', 'out'], '379': ['379', '381', '383', '384', '388', 'b', 'c', '385'], '386': ['386'], '389': ['389'], '390': ['390', '391', '392']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '381', '382', '383', '384', '389', 'c', 'd'], '379': ['379', '388', '391', '392', 'b'], '380': ['380', '386', '387', '393', 'a', 'out'], '385': ['385'], '390': ['390']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', 'a', 'd', '386', '387'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381', '383', 'c'], '385': ['385'], '390': ['390']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', 'a', 'd'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381', '383', 'c'], '385': ['385', '386'], '387': ['387'], '390': ['390']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', 'a', 'd', '387', '390'], '379': ['379', '384', '385', '386', '388', '392', 'b'], '381': ['381', '383', 'c'], '391': ['391'], '393': ['393'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '389', 'a', 'd', '390'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381'], '383': ['383'], '385': ['385', '386'], 'c': ['c']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '393', 'a', 'd', 'out'], '379': ['379', '381', '383', '384', '388', 'b', 'c'], '385': ['385'], '386': ['386'], '389': ['389', '390', '391'], '392': ['392']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '393', 'a', 'd', 'out'], '379': ['379', '384', '385', '386', '388', 'b'], '381': ['381'], '383': ['383'], '389': ['389', '390', '391'], '392': ['392'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', 'a', 'd', '386', '387'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381'], '383': ['383'], '385': ['385'], '390': ['390'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '389', 'a', 'd'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '381': ['381'], '383': ['383'], '385': ['385', '386'], '390': ['390'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '387', '393', 'a', 'd', 'out'], '379': ['379', '381', '383', '384', '388', 'b', 'c', '385'], '386': ['386'], '389': ['389'], '390': ['390'], '391': ['391'], '392': ['392']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '381', '382', '383', 'a', 'c', 'd'], '379': ['379', '384', '388', '391', '392', '393', 'b', 'out'], '380': ['380'], '385': ['385'], '386': ['386'], '387': ['387'], '389': ['389'], '390': ['390']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '380', '382', '389', '390', '391', 'a', 'd'], '379': ['379', '381', '383', '384', '388', 'b', 'c'], '385': ['385'], '386': ['386'], '387': ['387'], '392': ['392'], '393': ['393'], 'out': ['out']})"
