Total Number of Comms,Solution
5,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '799': ['799', '814', '817', '818'], '806': ['806', '808', '809', '810', '819', '820', 'b', 'out'], '807': ['807', '811', '812', '813', 'd']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e'], '797': ['797', '802', '803', '811', 'd'], '799': ['799', '801', 'c'], '804': ['804', '805', '810', '819', '820', 'out'], '806': ['806', '807', '808', '809', '812', '813', 'b'], '814': ['814', '817', '818', 'a']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '800'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '798': ['798', '807', '813', '815', '816', '817', '818', 'e'], '799': ['799', '806', '814'], '808': ['808', '809', '810', '819', '820', 'b', 'out'], '811': ['811', '812', 'd']})"
6,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e'], '797': ['797', '811', 'a', 'd'], '799': ['799', '814', '817', 'c'], '801': ['801', '804'], '802': ['802', '803', '805', '809', '810', '819', '820', 'out'], '806': ['806', '807', '808', '812', '813', 'b', '818']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e', 'd'], '797': ['797', '808', '809', '811', '812', 'b'], '799': ['799', '801', '802', '803', '804', '805', 'c'], '806': ['806'], '807': ['807', '813', '818', '819', '820', 'out', '810', '817'], '814': ['814'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '814', '815', '816', '817', 'e'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '798': ['798', '808', '809', '811', '812', 'b', 'd'], '799': ['799'], '800': ['800'], '806': ['806'], '807': ['807', '813', '818', '819', '820', 'out', '810']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '811', '812', '815', 'd', 'e'], '797': ['797', 'a'], '799': ['799', '806', '807', '814'], '801': ['801', '802', '803', '804', '805', 'c'], '808': ['808', 'b'], '809': ['809', '810', '816', '817', '818', '819', '820', 'out'], '813': ['813']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '798', '814', '815', '816', '817', 'e'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '799': ['799'], '800': ['800'], '806': ['806'], '807': ['807', '813', '818', '819', '820', 'out', '810'], '808': ['808', '809', '811', '812', 'b', 'd']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e'], '797': ['797', '802', '803', '811', 'd'], '799': ['799', '801', '814', 'c'], '804': ['804', '805', '809', '810', '819', '820', 'out', '808'], '806': ['806'], '807': ['807', '812', '813', '817', '818', 'b'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e'], '797': ['797', '811', 'a', 'd'], '799': ['799', '814', '817', 'c'], '801': ['801'], '802': ['802', '803', '805', '809', '810', '819', '820', 'out'], '804': ['804'], '806': ['806', '807', '808', '812', '813', 'b', '818']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '798', '815', '816', '817', '818', '819', 'e'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '799': ['799', '806', '807'], '800': ['800'], '808': ['808', '809', '810', '811', '812', '820', 'b', 'out'], '813': ['813'], '814': ['814'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '798', '800', '815', '816', 'e'], '797': ['797', '802', '803', '811', 'd'], '799': ['799'], '801': ['801'], '804': ['804', '805', '810', '819', '820', 'out'], '806': ['806', '807', '808', '809', '812', '813', 'b'], '814': ['814', '817', '818', 'a'], 'c': ['c']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '800'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '798': ['798', '807', '813', '815', '816', '817', '818', 'e'], '799': ['799', '806', '814'], '808': ['808', '809', '810', '819', '820', 'b', 'out'], '811': ['811'], '812': ['812'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'796': ['796', '798', '814', '815', '816', '817', 'e'], '797': ['797', '801', '802', '803', '804', '805', 'a', 'c'], '799': ['799'], '800': ['800'], '806': ['806'], '807': ['807', '813', '818', '819', '820', 'out'], '808': ['808', '809', '811', '812', 'b', 'd'], '810': ['810']})"
