Total Number of Comms,Solution
6,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '805', 'c', 'e'], '797': ['797', '811'], '798': ['798', '799', '802', '806', '815', '816', 'b', 'd'], '803': ['803', '807', '809', '810', '820', '821', 'out', '808'], '812': ['812', '813', '814', '817', '818', '819'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '797', '811', 'e'], '798': ['798', '799', '814', '815', '816', '817', 'b', 'd'], '800': ['800', '801', '812', '813', '818', '819', 'c'], '802': ['802'], '803': ['803', '807', '809', '810', '820', '821', 'out', '808'], '804': ['804', '805', '806'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '801', '814'], '797': ['797', '800', '804', '811', '812', '813', 'c', 'e'], '798': ['798', '799', '815', '816', '817', '818', 'b', 'd'], '802': ['802', '806', '808'], '803': ['803', '807', '809', '810', '820', '821', 'out', '819'], '805': ['805'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '800', '804', 'c', 'e', '801'], '797': ['797', '803', '807', '811', '812', 'a'], '798': ['798', '799', '808', '809', '815', '816', 'b', 'd'], '802': ['802'], '805': ['805', '806'], '810': ['810'], '813': ['813', '814', '817', '818', '819', '820', '821', 'out']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '801', '814', '816', '817'], '797': ['797', '811', 'e', 'a'], '798': ['798', '802', '805', '806', 'd'], '799': ['799', '803', '807', '808', '809', '810', '815', 'b'], '800': ['800', '812', '813', '819', '820', '821', 'c', 'out'], '804': ['804'], '818': ['818']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '797', '800', '801', '804', '811', 'c', 'e'], '798': ['798', '799', '815', '816', '817', '818', 'b', 'd'], '802': ['802', '805', '806'], '803': ['803', '807', '808', '809', '810'], '812': ['812', '813', '819', '820', '821', 'out'], '814': ['814'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796'], '797': ['797', '800', '804', '811', '812', '813', 'c', 'e'], '798': ['798', '801', '802', '803', '815', '816', 'd'], '799': ['799', '808', '809', '810', '820', '821', 'b', 'out'], '805': ['805', '806'], '807': ['807', '814', 'a'], '817': ['817', '818', '819']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '801', '814'], '797': ['797', '800', '804', '811', '812', '813', 'c', 'e'], '798': ['798', '799', '815', '816', '817', '818', 'b', 'd'], '802': ['802'], '803': ['803', '807', '809', '810', '820', '821', 'out', '819'], '805': ['805', '806', '808'], 'a': ['a']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '798', '814', '815', '816', '817', '818', 'd'], '797': ['797', '800', '804', '811', '812', '813', 'c', 'e'], '799': ['799', '808', '809', '810', '820', '821', 'b', 'out'], '801': ['801', '802'], '803': ['803', '807', 'a'], '805': ['805', '806'], '819': ['819']})"
7,"defaultdict(<class 'list'>, {'796': ['796', '800', '801', '804', '805', 'c', 'e'], '797': ['797', '811'], '798': ['798', '799', '802', '806', '815', '816', 'b', 'd'], '803': ['803', '807', '809', '810', '820', '821', 'out'], '808': ['808'], '812': ['812', '813', '814', '817', '818', '819'], 'a': ['a']})"
