Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd', '381', '382', 'c'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '389': ['389', '391', '392', '393', 'out']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '381': ['381', '382', '391', '392', '393', 'c', 'out', '389']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '381': ['381', '382', '389', '391', '392', '393', 'c', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '381': ['381', '382', '391', '392', '393', 'c', 'out'], '389': ['389']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd'], '379': ['379', '384', '385', '386', '387', '389', 'b'], '381': ['381', '382', '391', '392', '393', 'c', 'out'], '388': ['388', '390']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd', '381', '382', 'c'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '389': ['389'], '391': ['391', '392', '393', 'out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd', '386', '389'], '379': ['379', '385', '387', 'b'], '381': ['381', '382', '390', '391', '392', '393', 'c', 'out'], '384': ['384'], '388': ['388']})"
5,"defaultdict(<class 'list'>, {'378': ['378', 'd', '383'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '380': ['380', '381', '382', '391', '392', '393', 'a', 'out'], '389': ['389'], 'c': ['c']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd'], '379': ['379', '384', '385', '386', '387', '389', 'b'], '381': ['381', '382', '391', '392', '393', 'c', 'out'], '388': ['388'], '390': ['390']})"
6,"defaultdict(<class 'list'>, {'378': ['378', 'd'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '380': ['380', '381', '382', '391', '392', '393', 'a', 'out'], '383': ['383'], '389': ['389'], 'c': ['c']})"
7,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '380': ['380'], '381': ['381', '382', '391', '392', '393', 'c', 'out', '389'], '383': ['383'], 'a': ['a'], 'd': ['d']})"
7,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '380': ['380', '381', '382', '391', '392', '393', 'a', 'out'], '383': ['383'], '389': ['389'], 'c': ['c'], 'd': ['d']})"
7,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd', '381', '382', 'c'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '389': ['389'], '391': ['391'], '392': ['392'], '393': ['393'], 'out': ['out']})"
8,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '384', '385', '386', '387', '388', '390', 'b'], '380': ['380'], '381': ['381', '382', '391', '392', '393', 'c', 'out'], '383': ['383'], '389': ['389'], 'a': ['a'], 'd': ['d']})"
8,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', 'a', 'd', '386', '389'], '379': ['379'], '381': ['381', '382', '390', '391', '392', '393', 'c', 'out'], '384': ['384'], '385': ['385'], '387': ['387'], '388': ['388'], 'b': ['b']})"
