Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', '388', '389', 'd'], '380': ['380', '381', '382', '383', '387', 'a', 'b', 'c'], '390': ['390', 'out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd', '388'], '380': ['380', '382', '383', '387', '390', 'c', 'out'], '381': ['381', 'a'], '389': ['389']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', '388', '389', 'd'], '380': ['380', '381', '382', '383', '387', 'a', 'b', 'c'], '390': ['390'], 'out': ['out']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '384', '385', 'a', 'b', 'd'], '380': ['380', '382', '383', '387', '388', '389', '390', 'out'], '386': ['386'], 'c': ['c']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', '388', 'b', 'd'], '380': ['380', '382', '383', '389', '390', 'c', 'out', '381'], '387': ['387'], 'a': ['a']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '384', '385', 'a', 'b', 'd'], '380': ['380', '382', '383', '389', '390', 'c', 'out'], '386': ['386', '388'], '387': ['387']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd', '388'], '380': ['380', '382', '383', '389', '390', 'c', 'out', '381'], '387': ['387'], 'a': ['a']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd', '388'], '380': ['380', '382', '383', '387', '390', 'c', 'out'], '381': ['381'], '389': ['389'], 'a': ['a']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '381', '384', '385', 'a', 'b', 'd'], '380': ['380', '382', '383', '389', '390', 'c', 'out'], '386': ['386'], '387': ['387'], '388': ['388']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', '388', 'b', 'd'], '380': ['380', '382', '383', '389', '390', 'c', 'out'], '381': ['381'], '387': ['387'], 'a': ['a']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd'], '380': ['380', '382', '383', '389', '390', 'c', 'out', '381'], '387': ['387'], '388': ['388'], 'a': ['a']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd'], '380': ['380', '382', '383', '387', '390', 'c', 'out'], '381': ['381', 'a'], '388': ['388'], '389': ['389']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd'], '380': ['380', '382', '383', '389', '390', 'c', 'out'], '381': ['381'], '387': ['387'], '388': ['388'], 'a': ['a']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd'], '380': ['380', '382', '383', '387', '390', 'c', 'out'], '381': ['381'], '388': ['388'], '389': ['389'], 'a': ['a']})"
11,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '382', '383', '387', '388', '389', '390', 'out'], '381': ['381'], '384': ['384'], '385': ['385'], '386': ['386'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d']})"
11,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '381', '382', '383', '387', 'a', 'b', 'c'], '384': ['384'], '385': ['385'], '386': ['386'], '388': ['388'], '389': ['389'], '390': ['390'], 'd': ['d'], 'out': ['out']})"
12,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '382', '383', '389', '390', 'c', 'out'], '381': ['381'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], 'a': ['a'], 'b': ['b'], 'd': ['d']})"
12,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '382', '383', '387', '390', 'c', 'out'], '381': ['381'], '384': ['384'], '385': ['385'], '386': ['386'], '388': ['388'], '389': ['389'], 'a': ['a'], 'b': ['b'], 'd': ['d']})"
12,"defaultdict(<class 'list'>, {'378': ['378', '379', '384', '385', '386', 'b', 'd'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], 'a': ['a'], 'c': ['c'], 'out': ['out']})"
18,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], '390': ['390'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
