Time Cost: 231.4469964504242s
Community 290: ['18985']
Community 291: ['18986']
Community 292: ['18988']
Community 293: ['18989']
Community 294: ['18990']
Community 295: ['18992']
Community 296: ['18993']
Community 297: ['18994']
Community 298: ['18996']
Community 299: ['18997']
Community 300: ['18998']
Community 301: ['19000']
Community 302: ['19001']
Community 303: ['19002']
Community 304: ['19004']
Community 305: ['19005']
Community 306: ['19006']
Community 307: ['19008']
Community 308: ['19009']
Community 309: ['19010']
Community 310: ['19012']
Community 311: ['19013']
Community 312: ['19014']
Community 313: ['19016']
Community 314: ['19017']
Community 315: ['19018']
Community 316: ['19020']
Community 317: ['19021']
Community 318: ['19022']
Community 319: ['19024']
Community 320: ['19025']
Community 321: ['19026']
Community 322: ['19028']
Community 323: ['19029']
Community 324: ['19030']
Community 325: ['19032']
Community 326: ['19033']
Community 327: ['19034']
Community 328: ['19036']
Community 329: ['19037']
Community 330: ['19038']
Community 331: ['19040']
Community 332: ['19041']
Community 333: ['19042']
Community 334: ['19044']
Community 335: ['19045']
Community 336: ['19046']
Community 337: ['19048']
Community 338: ['19049']
Community 339: ['19050']
Community 340: ['19052']
Community 341: ['19053']
Community 342: ['19054']
Community 343: ['19056']
Community 344: ['19057']
Community 345: ['19058']
Community 346: ['19060']
Community 347: ['19061']
Community 348: ['19062']
Community 349: ['19064']
Community 350: ['19065']
Community 351: ['19066']
Community 352: ['19068']
Community 353: ['19069']
Community 354: ['19070']
Community 355: ['19072']
Community 356: ['19073']
Community 357: ['19074']
Community 358: ['19076']
Community 359: ['19077']
Community 360: ['19078']
Community 361: ['19080']
Community 362: ['19081']
Community 363: ['19082']
Community 364: ['19084']
Community 365: ['19085']
Community 366: ['19086']
Community 367: ['19088']
Community 368: ['19089']
Community 369: ['19090']
Community 370: ['19092']
Community 371: ['19093']
Community 372: ['19094']
Community 373: ['19096']
Community 374: ['19097']
Community 375: ['19098']
Community 376: ['19100']
Community 377: ['19101']
Community 378: ['19102']
Community 379: ['19104']
Community 380: ['19105']
Community 381: ['19106']
Community 382: ['19108']
Community 383: ['19109']
Community 384: ['19110']
Community 385: ['19112']
Community 386: ['19113']
Community 387: ['19114']
Community 388: ['19116']
Community 389: ['19117']
Community 390: ['19118']
Community 391: ['19120']
Community 392: ['19121']
Community 393: ['19122']
Community 394: ['19124']
Community 395: ['19125']
Community 396: ['19126']
Community 397: ['19128']
Community 398: ['19129']
Community 399: ['19130']
Community 400: ['19132']
Community 401: ['19133']
Community 402: ['19134']
Community 403: ['19136']
Community 404: ['19137']
Community 405: ['19138']
Community 406: ['19140']
Community 407: ['19141']
Community 408: ['19142']
Community 409: ['19144']
Community 410: ['19145']
Community 411: ['19146']
Community 412: ['19148']
Community 413: ['19149']
Community 414: ['19150']
Community 415: ['19152']
Community 416: ['19153']
Community 417: ['19154']
Community 418: ['19156']
Community 419: ['19157']
Community 420: ['19158']
Community 421: ['19160']
Community 422: ['19161']
Community 423: ['19162']
Community 424: ['19164']
Community 425: ['19165']
Community 426: ['19166']
Community 427: ['19168']
Community 428: ['19169']
Community 429: ['19170']
Community 430: ['19172']
Community 431: ['19173']
Community 432: ['19174']
Community 433: ['19176']
Community 434: ['19177']
Community 435: ['19178']
Community 436: ['19180']
Community 437: ['19181']
Community 438: ['19182']
Community 439: ['19184']
Community 440: ['19185']
Community 441: ['19186']
Community 442: ['19188']
Community 443: ['19189']
Community 444: ['19190']
Community 445: ['19192']
Community 446: ['19193']
Community 447: ['19194']
Community 448: ['19196']
Community 449: ['19197']
Community 450: ['19198']
Community 451: ['19200']
Community 452: ['19201']
Community 453: ['19202']
Community 454: ['19204']
Community 455: ['19205']
Community 456: ['19206']
Community 457: ['19208']
Community 458: ['19209']
Community 459: ['19210']
Community 460: ['19212']
Community 461: ['19213']
Community 462: ['19214']
Community 463: ['19216']
Community 464: ['19217']
Community 465: ['19218']
Community 466: ['19220']
Community 467: ['19221']
Community 468: ['19222']
Community 469: ['19224']
Community 470: ['19225']
Community 471: ['19226']
Community 472: ['19228']
Community 473: ['19229']
Community 474: ['19230']
Community 475: ['19232']
Community 476: ['19233']
Community 477: ['19234']
Community 478: ['19236']
Community 479: ['19237']
Community 480: ['19238']
Community 481: ['19240']
Community 482: ['19241']
Community 483: ['19242']
Community 484: ['19244']
Community 485: ['19245']
Community 486: ['19246']
Community 487: ['19248']
