Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
0,3011,5903,2891,0.4897509740809758
300,1630,5935,4304,0.725189553496209
600,1100,5935,4834,0.8144903117101938
900,3011,5903,2891,0.4897509740809758
1200,1100,5935,4834,0.8144903117101938
1500,1665,5999,4333,0.7222870478413069
1800,1096,6101,5004,0.8201934109162432
2100,1679,6385,4705,0.7368833202819107
2400,1104,6502,5397,0.8300522916025839
2700,1121,6706,5584,0.8326871458395467
3000,1128,6918,5789,0.8368025440878867
3300,1721,7216,5494,0.7613636363636364
3600,1721,7402,5680,0.7673601729262362
3900,1721,7590,5868,0.7731225296442688
4200,199,7794,7594,0.9743392353092122
4500,-1,8033,8033,1.0
