Time Cost: 31473.23913693428s
Community 162: ['19236', '19237', '19238']
Community 163: ['19240', '19241', '19242']
Community 164: ['19244', '19245', '19246']
Community 165: ['19248', '19249', '19250']
Community 166: ['19252', '19253', '19254']
Community 167: ['19256', '19257', '19258']
Community 168: ['19260', '19261', '19262']
Community 169: ['19264', '19265', '19266']
Community 170: ['19268', '19269', '19270']
Community 171: ['19272', '19273', '19274']
Community 172: ['19276', '19277', '19278']
Community 173: ['19280', '19281', '19282']
Community 174: ['19284', '19285', '19286']
Community 175: ['19288', '19289', '19290']
Community 176: ['19292', '19293', '19294']
Community 177: ['19296', '19297', '19298']
Community 178: ['19300', '19301', '19302']
Community 179: ['19304', '19305', '19306']
Community 180: ['19308', '19309', '19310']
Community 181: ['19312', '19313', '19314']
Community 182: ['19316', '19317', '19318']
Community 183: ['19320', '19321', '19322']
Community 184: ['19324', '19325', '19326']
Community 185: ['19328', '19329', '19330']
Community 186: ['19332', '19333', '19334']
Community 187: ['19336', '19337', '19338']
Community 188: ['19340', '19341', '19342']
Community 189: ['19344', '19345', '19346']
Community 190: ['19348', '19349', '19350']
Community 191: ['19352', '19353', '19354']
Community 192: ['19356', '19357', '19358']
Community 193: ['19360', '19361', '19362']
Community 194: ['19364', '19365', '19366']
Community 195: ['19368', '19369', '19370']
Community 196: ['19372', '19373', '19374']
Community 197: ['19376', '19377', '19378']
Community 198: ['19380', '19381', '19382']
Community 199: ['19384', '19385', '19386']
Community 200: ['19388', '19389', '19390']
Community 201: ['19392', '19393', '19394']
Community 202: ['19396', '19397', '19398']
Community 203: ['19400', '19401', '19402']
Community 204: ['19404', '19405', '19406']
Community 205: ['19408', '19409', '19410']
Community 206: ['19412', '19413', '19414']
Community 207: ['19416', '19417', '19418']
Community 208: ['19420', '19421', '19422']
Community 209: ['19424', '19425', '19426']
Community 210: ['19428', '19429', '19430']
Community 211: ['19432', '19433', '19434']
Community 212: ['19436', '19437', '19438']
Community 213: ['19440', '19441', '19442']
Community 214: ['19444', '19445', '19446']
Community 215: ['19448', '19449', '19450']
Community 216: ['19452', '19453', '19454']
Community 217: ['19456', '19457', '19458']
Community 218: ['19460', '19461', '19462']
Community 219: ['19464', '19465', '19466']
Community 220: ['19468', '19469', '19470']
Community 221: ['19472', '19473', '19474']
Community 222: ['19476', '19477', '19478']
Community 223: ['19480', '19481', '19482']
Community 224: ['19484', '19485', '19486']
Community 225: ['19488', '19489', '19490']
Community 226: ['19492', '19493', '19494']
Community 227: ['19496', '19497', '19498']
Community 228: ['19500', '19501', '19502']
