Gate,InputSignals,OutputSignals
26735,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '18608', 'Color': 'gray'}]","[{'NextGateID': '26736', 'Color': 'gray'}]"
26736,"[{'LastGateID': '22242', 'Color': 'color0'}, {'LastGateID': '26735', 'Color': 'gray'}]","[{'NextGateID': '26737', 'Color': 'gray'}]"
26737,"[{'LastGateID': '26734', 'Color': 'gray'}, {'LastGateID': '26736', 'Color': 'gray'}]","[{'NextGateID': '26738', 'Color': 'black'}]"
18473,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '22240', 'Color': 'gray'}]"
22240,"[{'LastGateID': '18473', 'Color': 'gray'}, {'LastGateID': '18609', 'Color': 'color6'}]","[{'NextGateID': '22241', 'Color': 'color4'}, {'NextGateID': '28333', 'Color': 'color4'}, {'NextGateID': '28368', 'Color': 'color3'}, {'NextGateID': '28381', 'Color': 'color3'}, {'NextGateID': '28525', 'Color': 'color3'}, {'NextGateID': '28648', 'Color': 'color3'}, {'NextGateID': '28732', 'Color': 'color4'}, {'NextGateID': '28792', 'Color': 'color3'}, {'NextGateID': '28911', 'Color': 'color4'}, {'NextGateID': '28936', 'Color': 'color4'}, {'NextGateID': '28977', 'Color': 'color3'}, {'NextGateID': '29074', 'Color': 'color3'}, {'NextGateID': '29087', 'Color': 'color3'}, {'NextGateID': '29115', 'Color': 'color3'}, {'NextGateID': '29130', 'Color': 'color4'}, {'NextGateID': '29201', 'Color': 'color3'}, {'NextGateID': '29214', 'Color': 'color3'}, {'NextGateID': '29262', 'Color': 'color3'}, {'NextGateID': '29315', 'Color': 'color3'}, {'NextGateID': '29343', 'Color': 'color3'}, {'NextGateID': '29358', 'Color': 'color4'}, {'NextGateID': '29384', 'Color': 'color3'}, {'NextGateID': '29409', 'Color': 'color4'}, {'NextGateID': '29488', 'Color': 'color4'}, {'NextGateID': '29501', 'Color': 'color4'}, {'NextGateID': '29542', 'Color': 'gray'}, {'NextGateID': '29585', 'Color': 'color3'}, {'NextGateID': '29604', 'Color': 'color3'}, {'NextGateID': '29617', 'Color': 'color3'}, {'NextGateID': '29630', 'Color': 'color4'}, {'NextGateID': '29669', 'Color': 'color3'}, {'NextGateID': '29748', 'Color': 'color3'}, {'NextGateID': '29773', 'Color': 'color4'}, {'NextGateID': '29809', 'Color': 'color3'}, {'NextGateID': '29824', 'Color': 'color3'}, {'NextGateID': '29837', 'Color': 'color4'}, {'NextGateID': '30021', 'Color': 'color5'}, {'NextGateID': '30132', 'Color': 'gray'}, {'NextGateID': '30173', 'Color': 'color4'}, {'NextGateID': '30201', 'Color': 'color4'}, {'NextGateID': '30216', 'Color': 'color4'}, {'NextGateID': '30295', 'Color': 'color4'}, {'NextGateID': '30485', 'Color': 'color3'}, {'NextGateID': '30498', 'Color': 'color4'}, {'NextGateID': '30536', 'Color': 'color3'}, {'NextGateID': '30592', 'Color': 'color3'}, {'NextGateID': '30646', 'Color': 'color3'}, {'NextGateID': '30661', 'Color': 'color3'}, {'NextGateID': '30674', 'Color': 'color4'}, {'NextGateID': '30765', 'Color': 'color3'}, {'NextGateID': '30778', 'Color': 'color4'}, {'NextGateID': '30919', 'Color': 'color4'}, {'NextGateID': '30947', 'Color': 'color4'}, {'NextGateID': '30975', 'Color': 'color3'}, {'NextGateID': '31003', 'Color': 'color4'}, {'NextGateID': '31046', 'Color': 'color3'}, {'NextGateID': '31059', 'Color': 'color4'}, {'NextGateID': '31155', 'Color': 'color3'}, {'NextGateID': '31196', 'Color': 'color3'}, {'NextGateID': '31250', 'Color': 'color3'}, {'NextGateID': '31258', 'Color': 'color3'}, {'NextGateID': '31269', 'Color': 'color4'}, {'NextGateID': '31282', 'Color': 'color3'}, {'NextGateID': '31321', 'Color': 'color3'}, {'NextGateID': '31429', 'Color': 'color3'}, {'NextGateID': '31444', 'Color': 'color3'}, {'NextGateID': '31511', 'Color': 'color4'}, {'NextGateID': '31586', 'Color': 'color4'}, {'NextGateID': '31612', 'Color': 'color4'}, {'NextGateID': '31638', 'Color': 'gray'}]"
29542,"[{'LastGateID': '22240', 'Color': 'gray'}, {'LastGateID': '29541', 'Color': 'color2'}]","[{'NextGateID': '29543', 'Color': 'black'}]"
30132,"[{'LastGateID': '22240', 'Color': 'gray'}, {'LastGateID': '30131', 'Color': 'color1'}]","[{'NextGateID': '30133', 'Color': 'black'}]"
31638,"[{'LastGateID': '22240', 'Color': 'gray'}, {'LastGateID': '31637', 'Color': 'color0'}]","[{'NextGateID': '31639', 'Color': 'black'}]"
18609,"[{'LastGateID': '18608', 'Color': 'color3'}]","[{'NextGateID': '22226', 'Color': 'color5'}, {'NextGateID': '22240', 'Color': 'color6'}]"
18611,"[{'LastGateID': '18610', 'Color': 'color3'}]","[{'NextGateID': '22233', 'Color': 'color1'}, {'NextGateID': '22270', 'Color': 'color2'}, {'NextGateID': '22281', 'Color': 'color1'}, {'NextGateID': '22287', 'Color': 'color1'}, {'NextGateID': '22301', 'Color': 'color1'}, {'NextGateID': '22335', 'Color': 'color1'}, {'NextGateID': '22341', 'Color': 'color1'}, {'NextGateID': '22347', 'Color': 'color1'}, {'NextGateID': '22358', 'Color': 'color1'}, {'NextGateID': '22369', 'Color': 'color1'}, {'NextGateID': '22395', 'Color': 'color1'}, {'NextGateID': '22401', 'Color': 'color1'}, {'NextGateID': '22421', 'Color': 'color2'}, {'NextGateID': '22431', 'Color': 'color1'}, {'NextGateID': '22437', 'Color': 'color1'}, {'NextGateID': '22453', 'Color': 'color1'}, {'NextGateID': '22473', 'Color': 'color1'}, {'NextGateID': '22479', 'Color': 'color1'}, {'NextGateID': '22514', 'Color': 'color1'}, {'NextGateID': '22685', 'Color': 'color2'}, {'NextGateID': '26586', 'Color': 'color1'}, {'NextGateID': '26592', 'Color': 'color1'}, {'NextGateID': '26598', 'Color': 'color1'}, {'NextGateID': '26612', 'Color': 'color1'}, {'NextGateID': '26632', 'Color': 'color1'}, {'NextGateID': '26643', 'Color': 'color1'}, {'NextGateID': '26659', 'Color': 'color2'}, {'NextGateID': '26665', 'Color': 'color1'}, {'NextGateID': '26671', 'Color': 'color1'}, {'NextGateID': '26694', 'Color': 'color1'}, {'NextGateID': '26739', 'Color': 'color1'}, {'NextGateID': '26754', 'Color': 'color2'}, {'NextGateID': '26774', 'Color': 'color1'}, {'NextGateID': '26795', 'Color': 'color1'}, {'NextGateID': '26806', 'Color': 'color1'}, {'NextGateID': '26812', 'Color': 'color2'}, {'NextGateID': '26842', 'Color': 'color1'}, {'NextGateID': '26848', 'Color': 'color2'}, {'NextGateID': '26894', 'Color': 'color1'}, {'NextGateID': '26905', 'Color': 'color2'}, {'NextGateID': '26942', 'Color': 'color1'}, {'NextGateID': '26968', 'Color': 'color1'}, {'NextGateID': '26984', 'Color': 'color1'}, {'NextGateID': '27000', 'Color': 'color1'}, {'NextGateID': '27006', 'Color': 'color1'}, {'NextGateID': '27021', 'Color': 'gray'}]"
