Gate,InputSignals,OutputSignals
20093,"[{'LastGateID': '17399', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20094', 'Color': 'gray'}]"
20094,"[{'LastGateID': '20092', 'Color': 'gray'}, {'LastGateID': '20093', 'Color': 'gray'}]","[{'NextGateID': '20095', 'Color': 'black'}]"
20096,"[{'LastGateID': '17688', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20098', 'Color': 'gray'}]"
20097,"[{'LastGateID': '17400', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20098', 'Color': 'gray'}]"
20098,"[{'LastGateID': '20096', 'Color': 'gray'}, {'LastGateID': '20097', 'Color': 'gray'}]","[{'NextGateID': '20099', 'Color': 'black'}]"
20100,"[{'LastGateID': '17689', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20102', 'Color': 'gray'}]"
20101,"[{'LastGateID': '17401', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20102', 'Color': 'gray'}]"
20102,"[{'LastGateID': '20100', 'Color': 'gray'}, {'LastGateID': '20101', 'Color': 'gray'}]","[{'NextGateID': '20103', 'Color': 'black'}]"
20104,"[{'LastGateID': '17690', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20106', 'Color': 'gray'}]"
20105,"[{'LastGateID': '17402', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20106', 'Color': 'gray'}]"
20106,"[{'LastGateID': '20104', 'Color': 'gray'}, {'LastGateID': '20105', 'Color': 'gray'}]","[{'NextGateID': '20107', 'Color': 'black'}]"
20108,"[{'LastGateID': '17691', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20110', 'Color': 'gray'}]"
20109,"[{'LastGateID': '17403', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20110', 'Color': 'gray'}]"
20110,"[{'LastGateID': '20108', 'Color': 'gray'}, {'LastGateID': '20109', 'Color': 'gray'}]","[{'NextGateID': '20111', 'Color': 'black'}]"
20112,"[{'LastGateID': '17692', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20114', 'Color': 'gray'}]"
20113,"[{'LastGateID': '17404', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20114', 'Color': 'gray'}]"
20114,"[{'LastGateID': '20112', 'Color': 'gray'}, {'LastGateID': '20113', 'Color': 'gray'}]","[{'NextGateID': '20115', 'Color': 'black'}]"
20116,"[{'LastGateID': '17693', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20118', 'Color': 'gray'}]"
20117,"[{'LastGateID': '17405', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20118', 'Color': 'gray'}]"
20118,"[{'LastGateID': '20116', 'Color': 'gray'}, {'LastGateID': '20117', 'Color': 'gray'}]","[{'NextGateID': '20119', 'Color': 'black'}]"
20120,"[{'LastGateID': '17694', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20122', 'Color': 'gray'}]"
20121,"[{'LastGateID': '17406', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20122', 'Color': 'gray'}]"
20122,"[{'LastGateID': '20120', 'Color': 'gray'}, {'LastGateID': '20121', 'Color': 'gray'}]","[{'NextGateID': '20123', 'Color': 'black'}]"
20124,"[{'LastGateID': '17695', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20126', 'Color': 'gray'}]"
20125,"[{'LastGateID': '17407', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20126', 'Color': 'gray'}]"
20126,"[{'LastGateID': '20124', 'Color': 'gray'}, {'LastGateID': '20125', 'Color': 'gray'}]","[{'NextGateID': '20127', 'Color': 'black'}]"
20128,"[{'LastGateID': '17696', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20130', 'Color': 'gray'}]"
20129,"[{'LastGateID': '17408', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20130', 'Color': 'gray'}]"
20130,"[{'LastGateID': '20128', 'Color': 'gray'}, {'LastGateID': '20129', 'Color': 'gray'}]","[{'NextGateID': '20131', 'Color': 'black'}]"
20132,"[{'LastGateID': '17697', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20134', 'Color': 'gray'}]"
20133,"[{'LastGateID': '17409', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20134', 'Color': 'gray'}]"
20134,"[{'LastGateID': '20132', 'Color': 'gray'}, {'LastGateID': '20133', 'Color': 'gray'}]","[{'NextGateID': '20135', 'Color': 'black'}]"
20136,"[{'LastGateID': '17698', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20138', 'Color': 'gray'}]"
20137,"[{'LastGateID': '17410', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20138', 'Color': 'gray'}]"
20138,"[{'LastGateID': '20136', 'Color': 'gray'}, {'LastGateID': '20137', 'Color': 'gray'}]","[{'NextGateID': '20139', 'Color': 'black'}]"
20140,"[{'LastGateID': '17699', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20142', 'Color': 'color0'}]"
20141,"[{'LastGateID': '17411', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20142', 'Color': 'color1'}]"
20142,"[{'LastGateID': '20140', 'Color': 'color0'}, {'LastGateID': '20141', 'Color': 'color1'}]","[{'NextGateID': '20143', 'Color': 'black'}]"
20144,"[{'LastGateID': '17700', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20146', 'Color': 'gray'}]"
20145,"[{'LastGateID': '17412', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20146', 'Color': 'gray'}]"
20146,"[{'LastGateID': '20144', 'Color': 'gray'}, {'LastGateID': '20145', 'Color': 'gray'}]","[{'NextGateID': '20147', 'Color': 'black'}]"
20148,"[{'LastGateID': '17701', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20150', 'Color': 'gray'}]"
20149,"[{'LastGateID': '17413', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20150', 'Color': 'gray'}]"
20150,"[{'LastGateID': '20148', 'Color': 'gray'}, {'LastGateID': '20149', 'Color': 'gray'}]","[{'NextGateID': '20151', 'Color': 'black'}]"
20152,"[{'LastGateID': '17702', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20154', 'Color': 'gray'}]"
20153,"[{'LastGateID': '17414', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20154', 'Color': 'gray'}]"
20154,"[{'LastGateID': '20152', 'Color': 'gray'}, {'LastGateID': '20153', 'Color': 'gray'}]","[{'NextGateID': '20155', 'Color': 'black'}]"
20156,"[{'LastGateID': '17543', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20158', 'Color': 'gray'}]"
20157,"[{'LastGateID': '17415', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20158', 'Color': 'gray'}]"
20158,"[{'LastGateID': '20156', 'Color': 'gray'}, {'LastGateID': '20157', 'Color': 'gray'}]","[{'NextGateID': '20159', 'Color': 'black'}]"
20160,"[{'LastGateID': '17544', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20162', 'Color': 'color0'}]"
20161,"[{'LastGateID': '17416', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20162', 'Color': 'color1'}]"
20162,"[{'LastGateID': '20160', 'Color': 'color0'}, {'LastGateID': '20161', 'Color': 'color1'}]","[{'NextGateID': '20163', 'Color': 'black'}]"
20164,"[{'LastGateID': '17545', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20166', 'Color': 'color0'}]"
20165,"[{'LastGateID': '17417', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20166', 'Color': 'color1'}]"
20166,"[{'LastGateID': '20164', 'Color': 'color0'}, {'LastGateID': '20165', 'Color': 'color1'}]","[{'NextGateID': '20167', 'Color': 'black'}]"
20168,"[{'LastGateID': '17546', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20170', 'Color': 'gray'}]"
20169,"[{'LastGateID': '17418', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20170', 'Color': 'gray'}]"
20170,"[{'LastGateID': '20168', 'Color': 'gray'}, {'LastGateID': '20169', 'Color': 'gray'}]","[{'NextGateID': '20171', 'Color': 'black'}]"
20172,"[{'LastGateID': '17547', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20174', 'Color': 'gray'}]"
20173,"[{'LastGateID': '17419', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20174', 'Color': 'gray'}]"
20174,"[{'LastGateID': '20172', 'Color': 'gray'}, {'LastGateID': '20173', 'Color': 'gray'}]","[{'NextGateID': '20175', 'Color': 'black'}]"
20176,"[{'LastGateID': '17548', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20178', 'Color': 'gray'}]"
20177,"[{'LastGateID': '17420', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20178', 'Color': 'gray'}]"
20178,"[{'LastGateID': '20176', 'Color': 'gray'}, {'LastGateID': '20177', 'Color': 'gray'}]","[{'NextGateID': '20179', 'Color': 'black'}]"
20180,"[{'LastGateID': '17549', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20182', 'Color': 'gray'}]"
20181,"[{'LastGateID': '17421', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20182', 'Color': 'gray'}]"
20182,"[{'LastGateID': '20180', 'Color': 'gray'}, {'LastGateID': '20181', 'Color': 'gray'}]","[{'NextGateID': '20183', 'Color': 'black'}]"
20184,"[{'LastGateID': '17550', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20186', 'Color': 'color0'}]"
20185,"[{'LastGateID': '17422', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20186', 'Color': 'color1'}]"
20186,"[{'LastGateID': '20184', 'Color': 'color0'}, {'LastGateID': '20185', 'Color': 'color1'}]","[{'NextGateID': '20187', 'Color': 'black'}]"
20188,"[{'LastGateID': '17551', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20190', 'Color': 'gray'}]"
20189,"[{'LastGateID': '17423', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20190', 'Color': 'gray'}]"
20190,"[{'LastGateID': '20188', 'Color': 'gray'}, {'LastGateID': '20189', 'Color': 'gray'}]","[{'NextGateID': '20191', 'Color': 'black'}]"
20192,"[{'LastGateID': '17552', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20194', 'Color': 'gray'}]"
20193,"[{'LastGateID': '17424', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20194', 'Color': 'gray'}]"
20194,"[{'LastGateID': '20192', 'Color': 'gray'}, {'LastGateID': '20193', 'Color': 'gray'}]","[{'NextGateID': '20195', 'Color': 'black'}]"
20196,"[{'LastGateID': '17553', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20198', 'Color': 'color0'}]"
20197,"[{'LastGateID': '17425', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20198', 'Color': 'color1'}]"
20198,"[{'LastGateID': '20196', 'Color': 'color0'}, {'LastGateID': '20197', 'Color': 'color1'}]","[{'NextGateID': '20199', 'Color': 'black'}]"
20200,"[{'LastGateID': '17554', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20202', 'Color': 'gray'}]"
20201,"[{'LastGateID': '17426', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20202', 'Color': 'gray'}]"
20202,"[{'LastGateID': '20200', 'Color': 'gray'}, {'LastGateID': '20201', 'Color': 'gray'}]","[{'NextGateID': '20203', 'Color': 'black'}]"
20204,"[{'LastGateID': '17555', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20206', 'Color': 'gray'}]"
20205,"[{'LastGateID': '17427', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20206', 'Color': 'gray'}]"
20206,"[{'LastGateID': '20204', 'Color': 'gray'}, {'LastGateID': '20205', 'Color': 'gray'}]","[{'NextGateID': '20207', 'Color': 'black'}]"
20208,"[{'LastGateID': '17556', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20210', 'Color': 'gray'}]"
20209,"[{'LastGateID': '17428', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20210', 'Color': 'gray'}]"
20210,"[{'LastGateID': '20208', 'Color': 'gray'}, {'LastGateID': '20209', 'Color': 'gray'}]","[{'NextGateID': '20211', 'Color': 'black'}]"
20212,"[{'LastGateID': '17557', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20214', 'Color': 'color0'}]"
20213,"[{'LastGateID': '17429', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20214', 'Color': 'color1'}]"
20214,"[{'LastGateID': '20212', 'Color': 'color0'}, {'LastGateID': '20213', 'Color': 'color1'}]","[{'NextGateID': '20215', 'Color': 'black'}]"
20216,"[{'LastGateID': '17558', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20218', 'Color': 'gray'}]"
20217,"[{'LastGateID': '17430', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20218', 'Color': 'gray'}]"
20218,"[{'LastGateID': '20216', 'Color': 'gray'}, {'LastGateID': '20217', 'Color': 'gray'}]","[{'NextGateID': '20219', 'Color': 'black'}]"
20220,"[{'LastGateID': '17559', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20222', 'Color': 'gray'}]"
20221,"[{'LastGateID': '17431', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20222', 'Color': 'gray'}]"
20222,"[{'LastGateID': '20220', 'Color': 'gray'}, {'LastGateID': '20221', 'Color': 'gray'}]","[{'NextGateID': '20223', 'Color': 'black'}]"
20224,"[{'LastGateID': '17560', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20226', 'Color': 'gray'}]"
20225,"[{'LastGateID': '17432', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20226', 'Color': 'gray'}]"
20226,"[{'LastGateID': '20224', 'Color': 'gray'}, {'LastGateID': '20225', 'Color': 'gray'}]","[{'NextGateID': '20227', 'Color': 'black'}]"
20228,"[{'LastGateID': '17561', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20230', 'Color': 'gray'}]"
20229,"[{'LastGateID': '17433', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20230', 'Color': 'gray'}]"
20230,"[{'LastGateID': '20228', 'Color': 'gray'}, {'LastGateID': '20229', 'Color': 'gray'}]","[{'NextGateID': '20231', 'Color': 'black'}]"
20232,"[{'LastGateID': '17562', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20234', 'Color': 'gray'}]"
20233,"[{'LastGateID': '17434', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20234', 'Color': 'gray'}]"
20234,"[{'LastGateID': '20232', 'Color': 'gray'}, {'LastGateID': '20233', 'Color': 'gray'}]","[{'NextGateID': '20235', 'Color': 'black'}]"
20236,"[{'LastGateID': '17563', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20238', 'Color': 'gray'}]"
20237,"[{'LastGateID': '17435', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20238', 'Color': 'gray'}]"
20238,"[{'LastGateID': '20236', 'Color': 'gray'}, {'LastGateID': '20237', 'Color': 'gray'}]","[{'NextGateID': '20239', 'Color': 'black'}]"
20240,"[{'LastGateID': '17564', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20242', 'Color': 'gray'}]"
20241,"[{'LastGateID': '17436', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20242', 'Color': 'gray'}]"
20242,"[{'LastGateID': '20240', 'Color': 'gray'}, {'LastGateID': '20241', 'Color': 'gray'}]","[{'NextGateID': '20243', 'Color': 'black'}]"
20244,"[{'LastGateID': '17565', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20246', 'Color': 'gray'}]"
20245,"[{'LastGateID': '17437', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20246', 'Color': 'gray'}]"
20246,"[{'LastGateID': '20244', 'Color': 'gray'}, {'LastGateID': '20245', 'Color': 'gray'}]","[{'NextGateID': '20247', 'Color': 'black'}]"
20248,"[{'LastGateID': '17566', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20250', 'Color': 'gray'}]"
20249,"[{'LastGateID': '17438', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20250', 'Color': 'gray'}]"
20250,"[{'LastGateID': '20248', 'Color': 'gray'}, {'LastGateID': '20249', 'Color': 'gray'}]","[{'NextGateID': '20251', 'Color': 'black'}]"
20252,"[{'LastGateID': '17567', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20254', 'Color': 'gray'}]"
20253,"[{'LastGateID': '17439', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20254', 'Color': 'gray'}]"
20254,"[{'LastGateID': '20252', 'Color': 'gray'}, {'LastGateID': '20253', 'Color': 'gray'}]","[{'NextGateID': '20255', 'Color': 'black'}]"
20256,"[{'LastGateID': '17568', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20258', 'Color': 'gray'}]"
20257,"[{'LastGateID': '17440', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20258', 'Color': 'gray'}]"
20258,"[{'LastGateID': '20256', 'Color': 'gray'}, {'LastGateID': '20257', 'Color': 'gray'}]","[{'NextGateID': '20259', 'Color': 'black'}]"
20260,"[{'LastGateID': '17569', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20262', 'Color': 'gray'}]"
20261,"[{'LastGateID': '17441', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20262', 'Color': 'gray'}]"
20262,"[{'LastGateID': '20260', 'Color': 'gray'}, {'LastGateID': '20261', 'Color': 'gray'}]","[{'NextGateID': '20263', 'Color': 'black'}]"
20264,"[{'LastGateID': '17570', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20266', 'Color': 'gray'}]"
20265,"[{'LastGateID': '17442', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20266', 'Color': 'gray'}]"
20266,"[{'LastGateID': '20264', 'Color': 'gray'}, {'LastGateID': '20265', 'Color': 'gray'}]","[{'NextGateID': '20267', 'Color': 'black'}]"
20268,"[{'LastGateID': '17571', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20270', 'Color': 'color0'}]"
20269,"[{'LastGateID': '17443', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20270', 'Color': 'color1'}]"
20270,"[{'LastGateID': '20268', 'Color': 'color0'}, {'LastGateID': '20269', 'Color': 'color1'}]","[{'NextGateID': '20271', 'Color': 'black'}]"
20272,"[{'LastGateID': '17572', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20274', 'Color': 'gray'}]"
20273,"[{'LastGateID': '17444', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20274', 'Color': 'gray'}]"
20274,"[{'LastGateID': '20272', 'Color': 'gray'}, {'LastGateID': '20273', 'Color': 'gray'}]","[{'NextGateID': '20275', 'Color': 'black'}]"
20276,"[{'LastGateID': '17573', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20278', 'Color': 'gray'}]"
20277,"[{'LastGateID': '17445', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20278', 'Color': 'gray'}]"
20278,"[{'LastGateID': '20276', 'Color': 'gray'}, {'LastGateID': '20277', 'Color': 'gray'}]","[{'NextGateID': '20279', 'Color': 'black'}]"
20280,"[{'LastGateID': '17574', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20282', 'Color': 'color0'}]"
20281,"[{'LastGateID': '17446', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20282', 'Color': 'color1'}]"
20282,"[{'LastGateID': '20280', 'Color': 'color0'}, {'LastGateID': '20281', 'Color': 'color1'}]","[{'NextGateID': '20283', 'Color': 'black'}]"
20284,"[{'LastGateID': '17575', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20286', 'Color': 'gray'}]"
20285,"[{'LastGateID': '17447', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20286', 'Color': 'gray'}]"
20286,"[{'LastGateID': '20284', 'Color': 'gray'}, {'LastGateID': '20285', 'Color': 'gray'}]","[{'NextGateID': '20287', 'Color': 'black'}]"
20288,"[{'LastGateID': '17576', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20290', 'Color': 'gray'}]"
20289,"[{'LastGateID': '17448', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20290', 'Color': 'gray'}]"
20290,"[{'LastGateID': '20288', 'Color': 'gray'}, {'LastGateID': '20289', 'Color': 'gray'}]","[{'NextGateID': '20291', 'Color': 'black'}]"
20292,"[{'LastGateID': '17577', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20294', 'Color': 'gray'}]"
20293,"[{'LastGateID': '17449', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20294', 'Color': 'gray'}]"
20294,"[{'LastGateID': '20292', 'Color': 'gray'}, {'LastGateID': '20293', 'Color': 'gray'}]","[{'NextGateID': '20295', 'Color': 'black'}]"
20296,"[{'LastGateID': '17578', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20298', 'Color': 'gray'}]"
20297,"[{'LastGateID': '17450', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20298', 'Color': 'gray'}]"
20298,"[{'LastGateID': '20296', 'Color': 'gray'}, {'LastGateID': '20297', 'Color': 'gray'}]","[{'NextGateID': '20299', 'Color': 'black'}]"
20300,"[{'LastGateID': '17579', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20302', 'Color': 'gray'}]"
20301,"[{'LastGateID': '17451', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20302', 'Color': 'gray'}]"
20302,"[{'LastGateID': '20300', 'Color': 'gray'}, {'LastGateID': '20301', 'Color': 'gray'}]","[{'NextGateID': '20303', 'Color': 'black'}]"
20304,"[{'LastGateID': '17580', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20306', 'Color': 'gray'}]"
20305,"[{'LastGateID': '17452', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20306', 'Color': 'gray'}]"
20306,"[{'LastGateID': '20304', 'Color': 'gray'}, {'LastGateID': '20305', 'Color': 'gray'}]","[{'NextGateID': '20307', 'Color': 'black'}]"
20308,"[{'LastGateID': '17581', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20310', 'Color': 'gray'}]"
20309,"[{'LastGateID': '17453', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20310', 'Color': 'gray'}]"
20310,"[{'LastGateID': '20308', 'Color': 'gray'}, {'LastGateID': '20309', 'Color': 'gray'}]","[{'NextGateID': '20311', 'Color': 'black'}]"
20312,"[{'LastGateID': '17582', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20314', 'Color': 'gray'}]"
20313,"[{'LastGateID': '17454', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20314', 'Color': 'gray'}]"
20314,"[{'LastGateID': '20312', 'Color': 'gray'}, {'LastGateID': '20313', 'Color': 'gray'}]","[{'NextGateID': '20315', 'Color': 'black'}]"
20316,"[{'LastGateID': '17583', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20318', 'Color': 'gray'}]"
20317,"[{'LastGateID': '17455', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20318', 'Color': 'gray'}]"
20318,"[{'LastGateID': '20316', 'Color': 'gray'}, {'LastGateID': '20317', 'Color': 'gray'}]","[{'NextGateID': '20319', 'Color': 'black'}]"
20320,"[{'LastGateID': '17584', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20322', 'Color': 'gray'}]"
20321,"[{'LastGateID': '17456', 'Color': 'black'}, {'LastGateID': '18620', 'Color': 'color0'}]","[{'NextGateID': '20322', 'Color': 'gray'}]"
20322,"[{'LastGateID': '20320', 'Color': 'gray'}, {'LastGateID': '20321', 'Color': 'gray'}]","[{'NextGateID': '20323', 'Color': 'black'}]"
20324,"[{'LastGateID': '17585', 'Color': 'black'}, {'LastGateID': '18612', 'Color': 'color1'}]","[{'NextGateID': '20326', 'Color': 'color0'}]"
