Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '386', 'c', 'd'], '379': ['379', '382', '383', '384', '385', 'a', 'b'], '387': ['387', '388', '389', 'out']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '386', '387', '388', '389', 'out'], '379': ['379', '382', '383', '384', '385', 'a', 'b'], '381': ['381', 'c', 'd']})"
3,"defaultdict(<class 'list'>, {'378': ['378', '380', '386', '387', 'c', 'd'], '379': ['379', '383', '384', '385', '389', 'a', 'b', 'out'], '381': ['381', '382', '388']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '382', '386', 'c', 'd'], '379': ['379', '383', '384', '385', '389', 'a', 'b', 'out'], '387': ['387'], '388': ['388']})"
4,"defaultdict(<class 'list'>, {'378': ['378', 'd'], '379': ['379', '383', '384', '387', 'a', 'b'], '380': ['380', '381', '382', '385', '388', '389', 'c', 'out'], '386': ['386']})"
4,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '386', '387', 'b', 'd'], '379': ['379', 'a'], '381': ['381', '382', '385', '388', '389', 'out'], 'c': ['c']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '386', 'c', 'd'], '379': ['379', '382', '383', '384', '385', 'a', 'b', '389'], '387': ['387'], '388': ['388'], 'out': ['out']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '386', '387', 'c', 'd'], '379': ['379', '383', '384', '385', '389', 'a', 'b', 'out'], '381': ['381'], '382': ['382'], '388': ['388']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '386', '387', '388', '389', 'out'], '379': ['379', '382', '383', '384', '385', 'a', 'b'], '381': ['381'], 'c': ['c'], 'd': ['d']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '386', '387', 'b', 'd'], '379': ['379'], '381': ['381', '382', '385', '388', '389', 'out'], 'a': ['a'], 'c': ['c']})"
5,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '386', '387', 'b', 'd'], '379': ['379', 'a'], '381': ['381'], '382': ['382', '385', '388', '389', 'out'], 'c': ['c']})"
5,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '383', '384', '387', 'a', 'b'], '380': ['380', '381', '382', '385', '388', '389', 'c', 'out'], '386': ['386'], 'd': ['d']})"
6,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '386', 'c', 'd'], '379': ['379', '382', '383', '384', '385', 'a', 'b'], '387': ['387'], '388': ['388'], '389': ['389'], 'out': ['out']})"
9,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '386', '387', 'b', 'd'], '379': ['379', 'a'], '381': ['381'], '382': ['382'], '385': ['385'], '388': ['388'], '389': ['389'], 'c': ['c'], 'out': ['out']})"
10,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '383', '384', '385', '389', 'a', 'b', 'out'], '380': ['380'], '381': ['381'], '382': ['382'], '386': ['386'], '387': ['387'], '388': ['388'], 'c': ['c'], 'd': ['d']})"
10,"defaultdict(<class 'list'>, {'378': ['378', '380', '383', '384', '386', '387', 'b', 'd'], '379': ['379'], '381': ['381'], '382': ['382'], '385': ['385'], '388': ['388'], '389': ['389'], 'a': ['a'], 'c': ['c'], 'out': ['out']})"
10,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380', '381', '382', '385', '388', '389', 'c', 'out'], '383': ['383'], '384': ['384'], '386': ['386'], '387': ['387'], 'a': ['a'], 'b': ['b'], 'd': ['d']})"
11,"defaultdict(<class 'list'>, {'378': ['378', '380', '381', '382', '386', 'c', 'd'], '379': ['379'], '383': ['383'], '384': ['384'], '385': ['385'], '387': ['387'], '388': ['388'], '389': ['389'], 'a': ['a'], 'b': ['b'], 'out': ['out']})"
11,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379', '382', '383', '384', '385', 'a', 'b'], '380': ['380'], '381': ['381'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
17,"defaultdict(<class 'list'>, {'378': ['378'], '379': ['379'], '380': ['380'], '381': ['381'], '382': ['382'], '383': ['383'], '384': ['384'], '385': ['385'], '386': ['386'], '387': ['387'], '388': ['388'], '389': ['389'], 'a': ['a'], 'b': ['b'], 'c': ['c'], 'd': ['d'], 'out': ['out']})"
