Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
1000,2387,2438,50,0.020508613617719443
2000,2360,2425,64,0.02639175257731959
3000,2357,2434,76,0.031224322103533278
4000,2390,2430,39,0.016049382716049384
5000,2371,2438,66,0.027071369975389663
6000,2200,2425,224,0.09237113402061856
7000,2340,2422,81,0.03344343517753923
8000,2371,2463,91,0.036946812829882256
9000,2560,2650,89,0.033584905660377355
10000,2759,2854,94,0.032936229852838124
11000,2817,3042,224,0.07363576594345825
12000,3117,3249,131,0.04032009849184364
13000,3060,3451,390,0.11301072152999131
14000,3473,3650,176,0.04821917808219178
15000,3739,3845,105,0.027308192457737322
