Gate,InputSignals,OutputSignals
160,"[{'LastGateID': '154', 'Color': 'color1'}, {'LastGateID': '159', 'Color': 'gray'}]","[{'NextGateID': '162', 'Color': 'color0'}]"
161,"[{'LastGateID': '155', 'Color': 'color2'}, {'LastGateID': '158', 'Color': 'color1'}]","[{'NextGateID': '162', 'Color': 'gray'}]"
162,"[{'LastGateID': '160', 'Color': 'color0'}, {'LastGateID': '161', 'Color': 'gray'}]","[{'NextGateID': 'Output Signal', 'Color': 'black'}]"
164,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '167', 'Color': 'gray'}]"
167,"[{'LastGateID': '163', 'Color': 'color1'}, {'LastGateID': '164', 'Color': 'gray'}]","[{'NextGateID': '170', 'Color': 'color2'}]"
166,"[{'LastGateID': '127', 'Color': 'color0'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '168', 'Color': 'gray'}]"
168,"[{'LastGateID': '165', 'Color': 'color4'}, {'LastGateID': '166', 'Color': 'gray'}]","[{'NextGateID': '169', 'Color': 'color1'}]"
169,"[{'LastGateID': '148', 'Color': 'color2'}, {'LastGateID': '168', 'Color': 'color1'}]","[{'NextGateID': '171', 'Color': 'color3'}]"
170,"[{'LastGateID': '158', 'Color': 'color0'}, {'LastGateID': '167', 'Color': 'color2'}]","[{'NextGateID': '171', 'Color': 'gray'}]"
171,"[{'LastGateID': '169', 'Color': 'color3'}, {'LastGateID': '170', 'Color': 'gray'}]","[{'NextGateID': 'Output Signal', 'Color': 'black'}]"
172,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '143', 'Color': 'color0'}]","[{'NextGateID': '173', 'Color': 'color4'}, {'NextGateID': '175', 'Color': 'gray'}]"
175,"[{'LastGateID': '134', 'Color': 'color1'}, {'LastGateID': '172', 'Color': 'gray'}]","[{'NextGateID': '176', 'Color': 'color2'}]"
174,"[{'LastGateID': '135', 'Color': 'color0'}, {'LastGateID': '173', 'Color': 'color3'}]","[{'NextGateID': '176', 'Color': 'gray'}]"
176,"[{'LastGateID': '174', 'Color': 'gray'}, {'LastGateID': '175', 'Color': 'color2'}]","[{'NextGateID': 'Output Signal', 'Color': 'black'}]"
